dependent_schema,dependent_view,source_schema,source_object
information_schema,_pg_user_mappings,information_schema,_pg_foreign_servers
information_schema,_pg_user_mappings,information_schema,_pg_foreign_servers
information_schema,_pg_user_mappings,information_schema,_pg_foreign_servers
information_schema,_pg_user_mappings,information_schema,_pg_foreign_servers
information_schema,administrable_role_authorizations,information_schema,applicable_roles
information_schema,administrable_role_authorizations,information_schema,applicable_roles
information_schema,administrable_role_authorizations,information_schema,applicable_roles
information_schema,column_options,information_schema,_pg_foreign_table_columns
information_schema,column_options,information_schema,_pg_foreign_table_columns
information_schema,column_options,information_schema,_pg_foreign_table_columns
information_schema,column_options,information_schema,_pg_foreign_table_columns
information_schema,data_type_privileges,information_schema,attributes
information_schema,data_type_privileges,information_schema,domains
information_schema,data_type_privileges,information_schema,parameters
information_schema,data_type_privileges,information_schema,parameters
information_schema,data_type_privileges,information_schema,attributes
information_schema,data_type_privileges,information_schema,attributes
information_schema,data_type_privileges,information_schema,domains
information_schema,data_type_privileges,information_schema,domains
information_schema,data_type_privileges,information_schema,parameters
information_schema,data_type_privileges,information_schema,routines
information_schema,data_type_privileges,information_schema,routines
information_schema,data_type_privileges,information_schema,routines
information_schema,data_type_privileges,information_schema,columns
information_schema,data_type_privileges,information_schema,columns
information_schema,data_type_privileges,information_schema,columns
information_schema,element_types,information_schema,data_type_privileges
information_schema,element_types,information_schema,data_type_privileges
information_schema,element_types,information_schema,data_type_privileges
information_schema,element_types,information_schema,data_type_privileges
information_schema,foreign_data_wrapper_options,information_schema,_pg_foreign_data_wrappers
information_schema,foreign_data_wrapper_options,information_schema,_pg_foreign_data_wrappers
information_schema,foreign_data_wrapper_options,information_schema,_pg_foreign_data_wrappers
information_schema,foreign_data_wrappers,information_schema,_pg_foreign_data_wrappers
information_schema,foreign_data_wrappers,information_schema,_pg_foreign_data_wrappers
information_schema,foreign_data_wrappers,information_schema,_pg_foreign_data_wrappers
information_schema,foreign_data_wrappers,information_schema,_pg_foreign_data_wrappers
information_schema,foreign_server_options,information_schema,_pg_foreign_servers
information_schema,foreign_server_options,information_schema,_pg_foreign_servers
information_schema,foreign_server_options,information_schema,_pg_foreign_servers
information_schema,foreign_servers,information_schema,_pg_foreign_servers
information_schema,foreign_servers,information_schema,_pg_foreign_servers
information_schema,foreign_servers,information_schema,_pg_foreign_servers
information_schema,foreign_servers,information_schema,_pg_foreign_servers
information_schema,foreign_servers,information_schema,_pg_foreign_servers
information_schema,foreign_servers,information_schema,_pg_foreign_servers
information_schema,foreign_servers,information_schema,_pg_foreign_servers
information_schema,foreign_table_options,information_schema,_pg_foreign_tables
information_schema,foreign_table_options,information_schema,_pg_foreign_tables
information_schema,foreign_table_options,information_schema,_pg_foreign_tables
information_schema,foreign_table_options,information_schema,_pg_foreign_tables
information_schema,foreign_tables,information_schema,_pg_foreign_tables
information_schema,foreign_tables,information_schema,_pg_foreign_tables
