view_name,view_type,row_count,view_category
view_riksdagen_committee_decisions,materialized,0,other
view_riksdagen_politician_document,materialized,0,other
view_riksdagen_committee_ballot_decision_party_summary,materialized,0,summary
view_riksdagen_committee_ballot_decision_politician_summary,materialized,0,summary
view_riksdagen_committee_ballot_decision_summary,materialized,0,summary
view_riksdagen_committee_decision_type_org_summary,materialized,0,summary
view_riksdagen_committee_decision_type_summary,materialized,0,summary
view_riksdagen_document_type_daily_summary,materialized,0,summary
view_riksdagen_org_document_daily_summary,materialized,0,summary
view_riksdagen_party_document_daily_summary,materialized,0,summary
view_riksdagen_politician_document_daily_summary,materialized,0,summary
view_riksdagen_politician_document_summary,materialized,0,summary
view_riksdagen_vote_data_ballot_party_summary,materialized,0,summary
view_riksdagen_vote_data_ballot_party_summary_annual,materialized,0,summary
view_riksdagen_vote_data_ballot_party_summary_daily,materialized,0,summary
view_riksdagen_vote_data_ballot_party_summary_monthly,materialized,0,summary
view_riksdagen_vote_data_ballot_party_summary_weekly,materialized,0,summary
view_riksdagen_vote_data_ballot_politician_summary,materialized,0,summary
view_riksdagen_vote_data_ballot_politician_summary_annual,materialized,0,summary
view_riksdagen_vote_data_ballot_politician_summary_daily,materialized,0,summary
view_riksdagen_vote_data_ballot_politician_summary_monthly,materialized,0,summary
view_riksdagen_vote_data_ballot_politician_summary_weekly,materialized,0,summary
view_riksdagen_vote_data_ballot_summary,materialized,0,summary
view_riksdagen_vote_data_ballot_summary_annual,materialized,0,summary
view_riksdagen_vote_data_ballot_summary_daily,materialized,0,summary
view_riksdagen_vote_data_ballot_summary_monthly,materialized,0,summary
view_riksdagen_vote_data_ballot_summary_weekly,materialized,0,summary
view_worldbank_indicator_data_country_summary,materialized,0,summary
