election_cycle_id,cycle_year,calendar_year,semester,is_pre_election_semester,months_until_election,active_politicians,avg_attendance_rate,total_ballots,total_votes,avg_win_rate,avg_rebel_rate,violation_count,avg_ma_absence,avg_approval_rate,total_decisions,avg_committee_productivity,rank_by_attendance,percent_rank_attendance,ntile_performance,prev_semester_attendance,prev_semester_decisions,next_semester_attendance,stddev_attendance,stddev_win_rate,stddev_decisions,change_attendance_pct,change_decisions_pct,attendance_trend,overall_performance_score,volatility_assessment,forecast_trend
2014-2018,3,2016,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,1,2006,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,1,1998,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,1,2014,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,4,1997,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,2,2019,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2030-2034,1,2030,spring,f,55,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,2,2003,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,2,2027,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,4,2029,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,1,1994,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,1,1994,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,2,2011,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,4,2025,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,1,2002,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,4,2017,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,2,2011,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,3,2000,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,1,2022,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,4,2017,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,3,2028,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,1,2018,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,3,2012,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,4,2013,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,1,2014,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,3,2008,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,3,2012,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,2,2015,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,2,2023,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,3,2024,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,1,1998,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,1,2026,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,3,2020,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,4,2021,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,1,2006,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,4,2005,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,1,2026,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,1,2002,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,4,2013,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,2,2019,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,3,2008,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,1,2022,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,3,2000,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,3,2020,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,4,2021,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,4,1997,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,2,2003,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,3,2024,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,3,1996,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,3,2016,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,2,2023,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,4,2009,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,2,1999,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
