metric,granularity,count,strategy
Overall Statistics,Total Objects,190,"Tables: 81, Views: 81, Mat Views: 28"
Sample Configuration,Complete Extraction Threshold,3000,Tables/views under this row count are extracted completely
Sample Configuration,Default Sample Size,200,Standard rows per table/view (unless entity-specific or complete extraction)
Sample Configuration,Document Sample Size,300,"Extended sample for document, motion, proposition, and bill tables/views"
Sample Configuration,Party/Committee/Person Sample,500,"Extended sample size for political entity tables/views (parties, committees, politicians)"
Sample Configuration,Voting/Ballot Sample Size,300,"Extended sample for vote, ballot, and decision summary tables/views"
Sample Configuration,Worldbank Sample Size,300,"Extended sample for worldbank indicators, countries, and economic data"
Temporal Stratification Summary,annual,8,"Full history, 2 samples/year"
Temporal Stratification Summary,daily,10,"Last 30 days, 2 samples/day"
Temporal Stratification Summary,monthly,3,"Last 3 years, 2 samples/month"
Temporal Stratification Summary,non_temporal,70,Random sampling (no temporal stratification)
Temporal Stratification Summary,temporal_trend,12,"All time periods, 1 sample/period"
Temporal Stratification Summary,weekly,6,"Last 6 months, 2 samples/week"
