id,author,filename,dateexecuted,orderexecuted,exectype,md5sum,description,comments,tag,liquibase,contexts,labels,deployment_id
1.51-election-cycle-comparative-002,intelligence-operative,db-changelog-1.51.xml,2026-01-15 04:00:44.033439,459,EXECUTED,9:59dca636389d99b4d02cd2ac8b8c398c,createView viewName=view_election_cycle_comparative_analysis,"REVISED: Enhanced with view_party_performance_metrics and view_committee_productivity_matrix
        
        Framework: Comparative Analysis (26 supporting views, 15+ risk rules)
        
        Source Views (COMPREHENSIVE):
        - view_riksd...",,5.0.1,,,8446037746
1414872417007-144,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.405104,144,EXECUTED,9:8fcbc92628f8cba467c582d5ca7906e7,"addPrimaryKey constraintName=user_account_pkey, tableName=user_account","",,5.0.1,,,8446037746
1414872417007-268,pether (generated),db-changelog-1.6.xml,2026-01-15 04:00:41.693474,268,EXECUTED,9:53a2955ac5300632144a22b15a944a8e,addColumn tableName=application_session,"",,5.0.1,,,8446037746
1414872417007-132,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.303472,132,EXECUTED,9:0ef7e7a7c0d5cda0a5dcbe5db56b7dfb,"addPrimaryKey constraintName=sweden_election_region_pkey, tableName=sweden_election_region","",,5.0.1,,,8446037746
1414872417007-157,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.527586,157,EXECUTED,9:285821ed49a91195d9d6e0f0273b0778,"addForeignKeyConstraint baseTableName=sweden_county_electoral_area, constraintName=fk_7h4feuc5bwu12tyaka1nx1ln, referencedTableName=sweden_county_electoral_regi_1","",,5.0.1,,,8446037746
1414872417007-70,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.763561,70,EXECUTED,9:0b270579251a30288c9ed0f7ce9cff3f,createTable tableName=user_account,"",,5.0.1,,,8446037746
1.58-validation,intelligence-operative,db-changelog-1.58.xml,2026-01-21 00:44:39.507516,507,EXECUTED,9:16d181fc6d8375fda140c490bd306de4,sql,"Validate that the 10-level career path view was created successfully with
        comprehensive career classification, trajectory analysis, and KPI metrics.",,5.0.1,,,8952677820
1414872417007-8,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.155444,8,EXECUTED,9:415d9684eeca14269142e3c4af51ef8a,createTable tableName=application_session,"",,5.0.1,,,8446037746
1414872417007-43,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.495584,43,EXECUTED,9:fa41612149189e9606f6ef67cbb39911,createTable tableName=performance_indicator_content,"",,5.0.1,,,8446037746
1.55-document-q4-election-comparison-view,intelligence-operative,db-changelog-1.55.xml,2026-01-21 00:44:39.363889,494,EXECUTED,9:b497414f0b045cb3bb0ccb8e6961aed3,sql,Add documentation for view_riksdagen_q4_election_year_comparison,,5.0.1,,,8952677820
