id,data_type,data_size
23,detail_element,0
56,person_container_data,0
52,operational_information_cont_0,0
121,view_riksdagen_vote_data_ballot_summary_weekly,0
117,view_riksdagen_vote_data_ballot_summary,0
30,document_data,0
90,tmp_mv_refresh_state,0
96,view_riksdagen_committee_ballot_decision_politician_summary,0
119,view_riksdagen_vote_data_ballot_summary_daily,0
100,view_riksdagen_committee_decisions,0
110,view_riksdagen_vote_data_ballot_party_summary_monthly,0
4,application_action_event,0
44,indicator_element,0
32,document_detail_data,0
88,sweden_political_party,40
95,view_riksdagen_committee_ballot_decision_party_summary,0
112,view_riksdagen_vote_data_ballot_politician_summary,0
20,databasechangelog,619
67,qrtz_job_details,4
17,country_element,0
51,language_data,140
93,user_account,0
120,view_riksdagen_vote_data_ballot_summary_monthly,0
46,jv_commit,6712
11,cia_view_row_counts,0
48,jv_global_id,6714
33,document_element,0
91,topic,0
16,countries_element,0
47,jv_commit_property,6712
60,person_detail_element,0
81,sweden_election_region,0
101,view_riksdagen_document_type_daily_summary,0
79,sweden_county_electoral_regi_0,0
73,qrtz_triggers,4
42,encrypted_value,0
123,vote_data,0
74,quality_assurance_content,0
29,document_content_data,0
109,view_riksdagen_vote_data_ballot_party_summary_daily,0
41,domain_portal,0
5,application_configuration,11
19,data_source_content,0
54,person_assignment_data,0
26,document_attachment,0
98,view_riksdagen_committee_decision_type_org_summary,0
82,sweden_election_type,0
104,view_riksdagen_politician_document,0
37,document_proposal_data,0
8,assignment_data,0
76,sweden_county_data,0
114,view_riksdagen_vote_data_ballot_politician_summary_daily,0
94,user_account_address,0
22,detail_data,0
38,document_reference_container,0
59,person_detail_data,0
64,qrtz_calendars,0
106,view_riksdagen_politician_document_summary,0
25,document_activity_data,0
83,sweden_election_type_contain_0,0
57,person_container_element,0
45,indicators_element,0
66,qrtz_fired_triggers,0
58,person_data,0
75,rule_violation,0
80,sweden_county_electoral_regi_1,0
2,against_proposal_data,0
55,person_assignment_element,0
3,agency,1
71,qrtz_simple_triggers,0
70,qrtz_scheduler_state,1
118,view_riksdagen_vote_data_ballot_summary_annual,0
35,document_person_reference_da_0,0
39,document_reference_data,0
10,cia_extraction_tracking,0
78,sweden_county_electoral_area,0
99,view_riksdagen_committee_decision_type_summary,0
63,qrtz_blob_triggers,0
97,view_riksdagen_committee_ballot_decision_summary,0
89,target_profile_content,0
12,committee_document_data,0
43,government_body_data,6520
49,jv_snapshot,6714
105,view_riksdagen_politician_document_daily_summary,0
115,view_riksdagen_vote_data_ballot_politician_summary_monthly,0
125,world_bank_data,0
40,document_status_container,0
113,view_riksdagen_vote_data_ballot_politician_summary_annual,0
85,sweden_municipality_election_0,0
36,document_proposal_container,0
103,view_riksdagen_party_document_daily_summary,0
69,qrtz_paused_trigger_grps,0
92,topics,0
50,language_content_data,0
111,view_riksdagen_vote_data_ballot_party_summary_weekly,0
124,vote_meta_data,0
77,sweden_county_data_container,0
84,sweden_municipality_data,0
13,committee_proposal_component_0,0
7,application_view,0
107,view_riksdagen_vote_data_ballot_party_summary,0
15,committee_proposal_data,0
6,application_session,0
102,view_riksdagen_org_document_daily_summary,0
31,document_detail_container,0
28,document_container_element,0
34,document_person_reference_co_0,0
86,sweden_parliament_electoral__0,0
62,portal,2
72,qrtz_simprop_triggers,0
27,document_attachment_container,0
53,performance_indicator_content,0
122,view_worldbank_indicator_data_country_summary,0
21,databasechangeloglock,1
87,sweden_parliament_electoral__1,0
14,committee_proposal_container,0
65,qrtz_cron_triggers,4
9,assignment_element,0
24,document_activity_container,0
18,data_element,0
116,view_riksdagen_vote_data_ballot_politician_summary_weekly,0
68,qrtz_locks,2
108,view_riksdagen_vote_data_ballot_party_summary_annual,0
1,against_proposal_container,0
61,person_element,0
