userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time
16384,16385,f,6145455670024909418,ANALYZE public.view_riksdagen_vote_data_ballot_politician_summary_weekly,0,0,0,0,0,0,1,0.367769,0.367769,0.367769,0.367769,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,805,0,0,0,0,0,0,0,0
10,16385,f,-8547528542229949243,"CREATE FUNCTION hnswhandler(internal) RETURNS index_am_handler
	AS '$libdir/vector' LANGUAGE C",0,0,0,0,0,0,1,0.099526,0.099526,0.099526,0.099526,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1141,0,0,0,0,0,0,0,0
16384,16385,f,2906766099002447888,SELECT EXISTS(SELECT $1 FROM public.view_riksdagen_vote_data_ballot_politician_summary LIMIT $2),1,0.081753,0.081753,0.081753,0.081753,0,1,0.003016,0.003016,0.003016,0.003016,0,1,5,3,0,0,0,0,0,0,0,0,0.029545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,t,-6647975046885821357,"COPY  ( SELECT document_document_status_con_0 AS value, COUNT ( * ) AS count FROM document_status_container WHERE document_document_status_con_0 IS NOT NULL GROUP BY document_document_status_con_0 ORDER BY count DESC LIMIT 500 ) TO STDOUT WITH CSV HEADER",0,0,0,0,0,0,1,0.073248,0.073248,0.073248,0.073248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,f,-3306632093422896737,SELECT COUNT(*) FROM public.view_riksdagen_seasonal_activity_patterns,1,0.574738,0.574738,0.574738,0.574738,0,1,0.018004,0.018004,0.018004,0.018004,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,t,-654498499486911906,"ALTER TABLE ONLY public.document_activity_data
    ADD CONSTRAINT document_activity_data_pkey PRIMARY KEY (hjid)",0,0,0,0,0,0,1,0.749673,0.749673,0.749673,0.749673,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,2771,0,0,0,0,0,0,0,0
10,16385,t,8558083986701143250,COMMENT ON COLUMN public.indicators_element.total IS 'DATA.Public GDPR.NA',0,0,0,0,0,0,1,0.102161,0.102161,0.102161,0.102161,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,159,0,0,0,0,0,0,0,0
16384,16385,f,-4743222320904986458,SELECT EXISTS(SELECT $1 FROM public.view_riksdagen_politician_document LIMIT $2),2,0.248967,0.123702,0.125265,0.1244835,0.0007814999999999905,2,0.006561000000000001,0.003255,0.0033060000000000003,0.0032805000000000004,2.550000000000024e-05,2,9,12,0,0,0,0,0,0,0,0,0.10613900000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,t,3287012086912275653,COMMENT ON COLUMN public.qrtz_simple_triggers.times_triggered IS 'DATA.Sensitive GDPR.NA',0,0,0,0,0,0,1,0.099597,0.099597,0.099597,0.099597,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,162,0,0,0,0,0,0,0,0
10,16385,t,1265216400919363875,"CREATE INDEX idx_qrtz_ft_t_g ON public.qrtz_fired_triggers USING btree (sched_name, trigger_name, trigger_group)",0,0,0,0,0,0,1,0.713537,0.713537,0.713537,0.713537,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,2610,0,0,0,0,0,0,0,0
