election_cycle_id,cycle_year,calendar_year,semester,is_pre_election_semester,months_until_election,active_politicians,avg_attendance_rate,total_ballots,total_votes,avg_win_rate,avg_rebel_rate,violation_count,avg_ma_absence,avg_approval_rate,total_decisions,avg_committee_productivity,rank_by_attendance,percent_rank_attendance,ntile_performance,prev_semester_attendance,prev_semester_decisions,next_semester_attendance,stddev_attendance,stddev_win_rate,stddev_decisions,change_attendance_pct,change_decisions_pct,attendance_trend,overall_performance_score,volatility_assessment,forecast_trend
2002-2006,3,2004,spring,f,31,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,1,1994,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,1,2026,spring,f,55,349,84.75,212192,74055008,59.41,0.43,0,14.60,,,18.35,1,0,1,,,,0,0,,,,baseline,72.08,stable,stable_forecast
2006-2010,3,2008,spring,f,31,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,1,2010,spring,f,55,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,2,2015,autumn,f,36,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,4,2029,autumn,f,12,0,,,,,,,,,,18.35,2,0.14285714285714285,3,,,,0,0,,,,baseline,,stable,stable_forecast
1998-2002,1,1998,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,3,2028,autumn,f,24,0,,,,,,,,,,18.35,2,0.14285714285714285,2,,,,0,0,,,,baseline,,stable,stable_forecast
2026-2030,2,2027,spring,f,43,0,,,,,,,,,,18.35,2,0.14285714285714285,2,,,,0,0,,,,baseline,,stable,stable_forecast
2014-2018,2,2015,spring,f,43,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,3,2016,autumn,f,24,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,3,2012,autumn,f,24,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,3,2012,spring,f,31,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,1,2026,autumn,f,48,0,,,,,,,,,,18.35,2,0.14285714285714285,4,,,84.75,0,0,,,,baseline,,stable,stable_forecast
2018-2022,4,2021,spring,t,19,0,,,,,,,,49.93,10080,18.35,1,0,4,,139584,,,,64752.00000000,,-92.78,baseline,,stable,stable_forecast
2010-2014,2,2011,spring,f,43,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,1,2022,autumn,f,48,0,,,,,,,,30.21,74336,18.35,7,0.8571428571428571,4,,,,0.50093246384451201121,2.5621567520786511,51860620.0324,,,baseline,,stable,stable_forecast
2018-2022,3,2020,spring,f,31,0,,,,,,,,,,18.35,1,0,3,,,,,,64752.00000000,,,baseline,,stable,stable_forecast
2018-2022,4,2021,autumn,f,12,0,,,,,,,,37.56,139584,18.35,1,0,4,,,,,,64752.00000000,,,baseline,,stable,stable_forecast
2022-2026,2,2023,autumn,f,36,359,85.29,22570528,7877114272,62.17,0.02,0,14.73,35.15,95548512,18.35,3,0.2857142857142857,2,,16576,85.94,0.50093246384451201121,2.5621567520786511,51860620.0324,,576326.83,baseline,73.73,stable,stable_forecast
1998-2002,3,2000,spring,f,31,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,3,2020,autumn,f,24,0,,,,,,,,,,18.35,1,0,3,,,,,,64752.00000000,,,baseline,,stable,stable_forecast
2006-2010,3,2008,autumn,f,24,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,2,1999,spring,f,43,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,4,2013,autumn,f,12,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,4,2013,spring,t,19,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,2,2011,autumn,f,36,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
