column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
decision_year,numeric,26,2000,2025,2000,2003,2005,2010,2016,2022,2025
quarter_num,numeric,4,1,4,1,1,1,2,3,4,4
total_proposals,bigint,26,1,28,1,1,1,1,3,6,17
approved_proposals,bigint,26,0,28,0,1,1,1,3,6,16
rejected_proposals,bigint,3,0,2,0,0,0,0,0,0,1
referred_back_proposals,bigint,1,0,0,0,0,0,0,0,0,0
committee_referral_proposals,bigint,12,0,22,0,0,0,0,0,0,4
other_decisions,bigint,2,0,1,0,0,0,0,0,0,0
approval_rate,numeric,6,0.00,100.00,0,100,100,100,100,100,100
rejection_rate,numeric,4,0.00,100.00,0,0,0,0,0,0,100
committee_referral_rate,numeric,5,0.00,100.00,0,0,0,0,0,0,100
