role_id,detail,role_code,first_name,last_name,from_date,to_date,person_id,party,total_days_served,active,total_documents,documents_last_year,total_propositions,total_government_bills,activity_level,role_type
1936,Justitiedepartementet,Statsråd,Thomas,Bodström,2002-09-30,2006-10-02,0581480697617,S,1463,f,0,0,0,0,Inactive,Minister of State
10364,Finansdepartementet,Statsråd,Åsa,Lindhagen,2021-07-09,2021-11-30,062367962120,MP,144,f,10,0,9,1,Inactive,Minister of State
32861,Näringsdepartementet,Statsråd,Sven-Erik,Bucht,2018-03-08,2019-01-21,0781357446917,S,319,f,0,0,0,0,Inactive,Minister of State
40012,Statsrådsberedningen,Statsråd,Thage G,Peterson,1997-02-01,1998-10-06,0348268153001,S,612,f,0,0,0,0,Inactive,Minister of State
34485,Statsrådsberedningen,Statsråd,Hans,Dahlgren,2020-12-17,2021-02-04,0339624201100,S,49,f,3,0,3,1,Inactive,Minister of State
47878,Utrikesdepartementet,Utrikesminister,Ann,Linde,2019-10-01,2020-12-17,0992800527915,S,443,f,5,0,5,1,Inactive,Minister of State
10393,Arbetsmarknadsdepartementet,Statsråd,Åsa,Lindhagen,2019-09-10,2019-10-01,062367962120,MP,21,f,10,0,9,1,Inactive,Minister of State
51145,Utbildningsdepartementet,Statsråd,Lina,Axelsson Kihlblom,2021-11-30,2022-10-06,0877853587410,S,310,f,10,0,10,0,Inactive,Minister of State
13715,Kulturdepartementet,Kulturminister,Lena,Adelsohn Liljeroth,2007-01-01,2010-10-05,0427127522211,M,1373,f,0,0,0,0,Inactive,Minister of State
18173,Försvarsdepartementet,Försvarsminister,Peter,Hultqvist,2014-10-03,2016-05-25,0937688366013,S,600,f,22,0,4,2,Inactive,Minister of State
2490,Finansdepartementet,Finansminister,Elisabeth,Svantesson,2024-09-10,2026-09-21,0899112324519,M,437,t,52,17,44,13,Medium,Minister of State
47880,Utrikesdepartementet,Statsråd,Ann,Linde,2019-01-21,2019-09-10,0992800527915,S,232,f,5,0,5,1,Inactive,Minister of State
27662,Utbildningsdepartementet,Statsråd,Nyamko,Sabuni,2011-01-01,2013-01-21,0802373156815,L,751,f,0,0,0,0,Inactive,Minister of State
16319,Statsrådsberedningen,Statsminister,Magdalena,Andersson,2021-11-30,2022-10-18,098412828516,S,322,f,177,0,174,31,Inactive,Minister of State
10988,Socialdepartementet,Statsråd,Berit,Andnor,2002-09-30,2004-09-13,0332067570917,S,714,f,0,0,0,0,Inactive,Minister of State
35325,Landsbygds- och infrastrukturdepartementet,Statsråd,Andreas,Carlson,2022-10-18,2022-10-18,0542160909628,KD,0,f,27,5,13,4,Low,Minister of State
15057,Finansdepartementet,Statsråd,Erik,Slottner,2024-09-10,2025-06-27,0767167947420,KD,290,f,4,1,4,3,Low,Minister of State
8713,Statsrådsberedningen,Statsråd,Pär,Nuder,2002-10-21,2004-10-31,0138450838510,S,741,f,0,0,0,0,Inactive,Minister of State
