person_id,first_name,last_name,party,born_year,gender,first_assignment_date,last_assignment_date,total_days_served,total_days_served_parliament,total_days_served_committee,total_days_served_government,total_days_served_eu,active,total_assignments,current_assignments,total_days_served_speaker,active_speaker,total_days_served_party,active_party,current_committee_assignments,current_ministry_assignments,current_party_assignments,current_speaker_assignments,total_committee_assignments,total_party_assignments,total_speaker_assignments,total_ministry_assignments,active_eu,active_government,active_committee,active_parliament,total_committee_substitute_assignments,current_committee_substitute_assignments,total_days_served_committee_substitute,total_committee_leadership_assignments,current_committee_leadership_assignments,total_days_served_committee_leadership,total_documents,party_motions,individual_motions,committee_motions,multi_party_motions,follow_up_motions,documents_last_year,document_years_active,average_docs_per_year,doc_activity_level,doc_activity_profile,collaboration_percentage,document_types,first_document_date,last_document_date
0457722435319,Tomas,Kronståhl,S,1967,MAN,2018-09-24,2026-09-28,18364,2509,15855,0,0,t,25,4,0,f,0,f,2,0,0,0,18,0,0,0,f,f,t,t,16,1,13256,0,0,0,22,0,13,9,0,0,0,5,4.4,Low,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2018-11-27,2024-10-04
037063714405,Anders,Björck,M,1944,MAN,1976-10-04,2002-12-31,41292,8489,9210,1095,0,f,36,0,1456,f,0,f,0,0,0,0,9,0,1,1,f,f,f,f,5,0,4476,3,0,3280,68,34,4,25,2,0,0,2,34.0,Medium,Party-focused,2.9,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2000-04-06,2002-10-23
0879014196003,Jonas,Åkerlund,SD,1949,MAN,2010-10-04,2018-09-24,7581,2912,3830,0,0,f,7,0,0,f,0,f,0,0,0,0,4,0,0,0,f,f,f,f,2,0,2275,0,0,0,19,9,5,5,0,0,0,4,4.8,Low,Party-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",2011-05-04,2016-04-27
0508589337602,Harald,Bergström,KD,1936,MAN,1991-09-30,2002-09-30,7167,2555,3986,0,0,f,6,0,0,f,0,f,0,0,0,0,3,0,0,0,f,f,f,f,2,0,2896,0,0,0,74,2,5,59,2,0,0,2,37.0,Medium,Committee-focused,2.7,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2000-04-06,2002-06-13
0791588767213,Staffan,Werme,FP,1958,MAN,2000-12-06,2001-05-16,159,0,159,0,0,f,6,0,0,f,0,f,0,0,0,0,6,0,0,0,f,f,f,f,6,0,159,0,0,0,1,0,1,0,0,0,0,0,0,Low,Individual-focused,0.0,"{""mot:Enskild motion""}",2001-05-21,2001-05-21
0323000187920,Solange,Olame Bayibsa,S,1987,KVINNA,2020-12-01,2022-10-18,4968,385,4583,0,0,f,18,0,0,f,0,f,0,0,0,0,15,0,0,0,f,f,f,f,14,0,4569,0,0,0,3,0,3,0,0,0,0,0,0,Low,Individual-focused,0.0,"{""mot:Enskild motion""}",2021-09-29,2021-09-30
0213606215200,Bertil,Fiskesjö,C,1928,MAN,1976-10-04,1995-12-20,9126,6573,1090,0,0,f,8,0,0,f,0,f,0,0,0,0,1,0,0,0,f,f,f,f,0,0,0,1,0,1090,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0788526088220,Emma,Henriksson,KD,1977,KVINNA,2006-10-06,2018-09-24,21387,4371,10745,0,0,f,23,0,0,f,1700,f,0,0,0,0,8,3,0,0,f,f,f,f,5,0,6394,1,0,1448,114,12,72,29,1,0,0,11,10.4,High,Individual-focused,0.9,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2006-10-31,2018-02-15
0958072321310,Anders,Borg,M,1968,MAN,1994-10-03,2014-10-03,2930,4,0,2919,0,f,3,0,0,f,0,f,0,0,0,0,0,0,0,1,f,f,f,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Mixed,0,{prop:prop},2014-06-10,2014-06-10
0535289016620,Christoffer,Järkeborn,M,1985,MAN,2011-02-07,2011-06-03,348,116,232,0,0,f,3,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,2,0,232,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0193378456716,Ulf,Berg,M,1957,MAN,2006-10-02,2016-09-12,15699,3633,7788,0,0,f,22,0,0,f,0,f,0,0,0,0,12,0,0,0,f,f,f,f,6,0,4278,1,0,121,80,0,65,12,3,0,0,9,8.9,Medium,Individual-focused,3.8,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2006-11-17,2016-03-30
0955635879822,Dan,Nilsson,S,1975,MAN,2006-10-02,2009-03-01,1093,367,726,0,0,f,4,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,2,0,726,0,0,0,12,0,9,3,0,0,0,0,0,Low,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2008-03-26,2008-10-08
013162757105,Elizabeth,Nyström,M,1942,KVINNA,1995-10-03,2010-10-19,13879,4016,6399,0,0,f,12,0,0,f,0,f,0,0,0,0,6,0,0,0,f,f,f,f,4,0,3496,1,0,1455,170,0,109,24,36,0,0,5,34.0,High,Individual-focused,21.2,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2000-10-05,2006-04-11
0928800583601,Pierre,Schori,S,1938,MAN,1991-09-30,1999-06-14,6133,1103,1090,532,0,f,11,0,0,f,0,f,0,0,0,0,1,0,0,1,f,f,f,f,0,0,0,1,0,1090,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0273506284025,Edward,Riedl,M,1976,MAN,2010-10-04,2026-10-11,28429,5527,18844,0,0,t,37,4,0,f,0,f,1,0,0,0,28,0,0,0,f,f,t,t,20,0,13386,2,1,1128,361,0,349,12,0,0,0,10,36.1,Very High,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2010-10-27,2021-09-29
0965607699115,Kerstin,Fredriksson,S,1954,KVINNA,2003-02-14,2003-03-15,70,29,41,0,0,f,3,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0983984918111,Matilda,Ernkrans,S,1973,KVINNA,2002-09-30,2026-10-13,24614,6754,12420,1363,0,t,42,5,0,f,0,f,3,0,0,0,18,0,0,9,f,f,t,t,7,2,5947,5,1,4131,237,8,186,25,5,0,0,21,11.3,Very High,Individual-focused,2.2,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion,prop:prop,prop:skr}",2002-10-23,2024-10-04
069309987221,Johan,Hultberg,M,1985,MAN,2010-10-04,2026-09-21,26331,5182,19790,0,0,t,40,2,0,f,0,f,1,0,0,0,27,0,0,0,f,f,t,t,18,0,12705,0,0,0,101,0,69,32,0,0,0,12,8.4,High,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2010-10-25,2023-10-05
0583257327619,Kerstin,Haglö,S,1955,KVINNA,2002-09-30,2014-09-29,18764,4382,11537,0,0,f,20,0,0,f,0,f,0,0,0,0,12,0,0,0,f,f,f,f,5,0,6457,1,0,108,255,1,223,23,8,0,0,11,23.2,Very High,Individual-focused,3.1,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2002-10-23,2014-03-12
0465398691116,Eskil,Erlandsson,C,1957,MAN,1994-10-03,2019-03-12,25389,6005,14907,2917,0,f,37,0,0,f,0,f,0,0,0,0,23,0,0,3,f,f,f,f,8,0,10244,11,0,3213,210,37,85,76,6,0,0,17,12.4,Very High,Individual-focused,2.9,"{mot:,mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2000-02-16,2017-10-05
0248883870202,Göran,Montan,M,1946,MAN,2006-10-02,2014-09-29,8674,2919,4358,0,0,f,9,0,0,f,0,f,0,0,0,0,3,0,0,0,f,f,f,f,2,0,2910,0,0,0,40,0,38,0,2,0,0,7,5.7,Low,Individual-focused,5.0,"{""mot:Enskild motion"",mot:Flerpartimotion}",2006-10-31,2013-12-03
0391621769505,Roland,Larsson,C,1939,MAN,1988-10-03,1998-10-05,12488,3654,7379,0,0,f,12,0,0,f,0,f,0,0,0,0,8,0,0,0,f,f,f,f,5,0,3752,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
086684470825,Tobias,Andersson,SD,1996,MAN,2018-09-24,2026-09-21,19132,2615,15471,0,0,t,25,2,0,f,182,f,1,0,0,0,20,1,0,0,f,f,t,t,16,0,12872,1,1,1144,73,0,17,56,0,0,1,6,12.2,Medium,Committee-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2018-10-23,2025-01-30
0688961392304,Ingrid,Andersson,S,1939,KVINNA,1979-10-17,1998-10-05,16113,5942,10020,0,0,f,20,0,0,f,0,f,0,0,0,0,11,0,0,0,f,f,f,f,7,0,6386,1,0,825,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0504711999229,Pavel,Gamov,-,1989,MAN,2014-09-29,2019-03-13,5829,1456,2889,0,0,f,4,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,1,0,1441,0,0,0,13,2,3,8,0,0,0,0,0,Low,Committee-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",2015-10-06,2016-04-27
0838210948212,Henrik,Landerholm,M,1963,MAN,1991-09-30,2002-09-30,20061,4018,7931,0,0,f,22,0,0,f,0,f,0,0,0,0,13,0,0,0,f,f,f,f,3,0,2908,5,0,1682,39,29,1,5,0,0,0,2,19.5,Low,Party-focused,0.0,"{mot:-,""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",2000-04-06,2002-05-02
0599003208801,Lennart,Fremling,FP,1946,MAN,1991-09-30,2006-10-02,15009,4025,10984,0,0,f,13,0,0,f,0,f,0,0,0,0,10,0,0,0,f,f,f,f,9,0,9529,0,0,0,35,1,4,25,5,0,0,3,11.7,Low,Committee-focused,14.3,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2002-10-23,2006-05-12
0249314098519,Boel,Lindén,V,1972,KVINNA,2002-02-01,2002-09-30,241,241,0,0,0,f,1,0,0,f,0,f,0,0,0,0,0,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0538404901718,Malin,Löfsjögård,M,1972,KVINNA,2008-03-01,2026-10-13,6077,1477,2894,0,0,t,9,1,0,f,0,f,0,0,0,0,4,0,0,0,f,f,f,f,3,0,2371,0,0,0,13,0,13,0,0,0,0,3,4.3,Low,Individual-focused,0.0,"{""mot:Enskild motion""}",2008-09-29,2011-10-05
0794602231002,Åke,Gustavsson,S,1943,MAN,1976-10-04,2002-09-30,24821,9242,10172,0,0,f,27,0,0,f,0,f,0,0,0,0,9,0,0,0,f,f,f,f,4,0,3763,4,0,4955,4,0,4,0,0,0,0,1,4.0,Low,Individual-focused,0.0,"{""mot:Enskild motion""}",2000-10-04,2001-10-05
0905755961314,Lars,Elinderson,M,1949,MAN,1998-10-05,2014-09-29,15053,4490,7659,0,0,f,14,0,0,f,0,f,0,0,0,0,8,0,0,0,f,f,f,f,6,0,4756,0,0,0,95,0,47,32,11,0,0,14,6.8,Medium,Individual-focused,11.6,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2000-02-09,2014-05-08
0331791853028,Yasmine,Eriksson,SD,1989,KVINNA,2018-09-24,2026-10-26,19830,2615,16770,0,0,t,28,5,0,f,0,f,3,0,0,0,24,0,0,0,f,f,t,t,22,2,16207,0,0,0,25,0,11,14,0,0,0,5,5.0,Low,Committee-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2019-10-03,2024-10-04
0491930525700,Birgitta,Wichne,M,1938,KVINNA,1994-10-03,1998-10-05,4370,1463,2907,0,0,f,4,0,0,f,0,f,0,0,0,0,3,0,0,0,f,f,f,f,2,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0791786201912,Maria,Plass,M,1953,KVINNA,2006-10-02,2026-10-11,22145,4375,10158,0,0,t,20,1,0,f,0,f,0,0,0,0,9,0,0,0,f,f,f,f,3,0,4359,0,0,0,56,0,53,3,0,0,0,10,5.6,Medium,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2007-10-02,2017-10-05
0117613859601,Erling,Bager,FP,1946,MAN,1985-09-30,2006-10-02,17214,6215,9616,0,0,f,15,0,0,f,0,f,0,0,0,0,9,0,0,0,f,f,f,f,4,0,3420,0,0,0,46,1,15,10,20,0,0,3,15.3,Low,Individual-focused,43.5,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2002-10-23,2006-04-11
0906365922712,Anne-Marie,Pålsson,M,1951,KVINNA,2002-09-30,2010-10-19,14844,2926,6269,0,0,f,18,0,0,f,0,f,0,0,0,0,12,0,0,0,f,f,f,f,7,0,3332,0,0,0,111,0,59,47,5,0,0,7,15.9,High,Individual-focused,4.5,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2002-10-23,2009-12-09
0972781465305,Ylva,Annerstedt,L,1939,KVINNA,1985-09-30,1998-12-01,11521,3259,2181,0,0,f,12,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0213183979300,Margareta,Persson,S,1945,KVINNA,1994-10-03,2010-10-04,14874,5845,7566,0,0,f,13,0,0,f,0,f,0,0,0,0,8,0,0,0,f,f,f,f,4,0,1754,0,0,0,95,0,78,9,8,0,0,9,10.6,Medium,Individual-focused,8.4,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2000-10-04,2010-04-07
0614478918709,Ture,Ångqvist,S,1933,MAN,1986-10-07,1988-10-03,727,727,0,0,0,f,1,0,0,f,0,f,0,0,0,0,0,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0870805820217,Göran,Lindblad,M,1950,MAN,1993-02-23,2010-10-31,15783,4823,8446,0,0,f,23,0,0,f,0,f,0,0,0,0,15,0,0,0,f,f,f,f,11,0,5527,0,0,0,149,0,66,75,3,0,0,10,14.9,High,Committee-focused,2.0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2000-02-09,2010-03-29
0623459368604,Margareta,Jonback,FP,1934,KVINNA,1988-11-15,1988-12-14,87,29,58,0,0,f,3,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,2,0,58,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0673622610409,Birgitta,Carlsson,C,1943,KVINNA,1991-09-30,2010-10-19,24731,5481,12685,0,0,f,19,0,0,f,0,f,0,0,0,0,10,0,0,0,f,f,f,f,7,0,8328,0,0,0,337,26,143,100,56,0,0,6,56.2,Very High,Individual-focused,16.6,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2000-02-09,2006-04-18
0412148992926,Hanna,Westerén,S,1981,KVINNA,2015-02-01,2026-10-26,24755,3665,17777,0,0,t,33,5,0,f,0,f,3,0,0,0,24,0,0,0,f,f,t,t,20,2,15013,0,0,0,115,0,108,6,0,0,0,8,14.4,High,Individual-focused,0.0,"{mot:,""mot:Enskild motion"",mot:Kommittémotion}",2015-10-05,2024-10-04
0209004049600,Kenneth,Attefors,NYD,1948,MAN,1991-09-30,1994-10-03,2189,1099,1090,0,0,f,2,0,0,f,0,f,0,0,0,0,1,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
019623784404,Viviann,Gerdin,C,1944,KVINNA,1998-10-05,2006-10-02,8725,2919,5806,0,0,f,6,0,0,f,0,f,0,0,0,0,4,0,0,0,f,f,f,f,2,0,2903,0,0,0,139,1,61,58,17,0,0,6,23.2,High,Individual-focused,12.2,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2000-04-06,2006-05-17
0874331493311,Helena,Frisk,S,1965,KVINNA,1994-10-03,2007-08-28,12869,4712,8157,0,0,f,13,0,0,f,0,f,0,0,0,0,8,0,0,0,f,f,f,f,5,0,5190,0,0,0,122,0,107,5,1,0,0,7,17.4,High,Individual-focused,0.8,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2000-04-05,2007-06-20
0708483204009,Lennart,Klockare,S,1945,MAN,1994-10-03,2006-10-02,11840,4382,6873,0,0,f,10,0,0,f,0,f,0,0,0,0,5,0,0,0,f,f,f,f,2,0,2516,0,0,0,44,0,44,0,0,0,0,5,8.8,Low,Individual-focused,0.0,"{""mot:Enskild motion""}",2000-10-05,2005-10-05
