Generating view dependency analysis...

dependent_schema,dependent_view,source_schema,source_object,source_type
public,view_application_action_event_page_annual_summary,public,application_action_event,T
public,view_application_action_event_page_annual_summary,public,application_action_event,T
public,view_application_action_event_page_daily_summary,public,application_action_event,T
public,view_application_action_event_page_daily_summary,public,application_action_event,T
public,view_application_action_event_page_element_annual_summary,public,application_action_event,T
public,view_application_action_event_page_element_annual_summary,public,application_action_event,T
public,view_application_action_event_page_element_annual_summary,public,application_action_event,T
public,view_application_action_event_page_element_daily_summary,public,application_action_event,T
public,view_application_action_event_page_element_daily_summary,public,application_action_event,T
public,view_application_action_event_page_element_daily_summary,public,application_action_event,T
public,view_application_action_event_page_element_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_element_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_element_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_element_weekly_summary,public,application_action_event,T
public,view_application_action_event_page_element_weekly_summary,public,application_action_event,T
public,view_application_action_event_page_element_weekly_summary,public,application_action_event,T
public,view_application_action_event_page_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_modes_annual_summary,public,application_action_event,T
public,view_application_action_event_page_modes_annual_summary,public,application_action_event,T
public,view_application_action_event_page_modes_annual_summary,public,application_action_event,T
public,view_application_action_event_page_modes_daily_summary,public,application_action_event,T
public,view_application_action_event_page_modes_daily_summary,public,application_action_event,T
public,view_application_action_event_page_modes_daily_summary,public,application_action_event,T
public,view_application_action_event_page_modes_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_modes_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_modes_hourly_summary,public,application_action_event,T
public,view_application_action_event_page_modes_weekly_summary,public,application_action_event,T
public,view_application_action_event_page_modes_weekly_summary,public,application_action_event,T
public,view_application_action_event_page_modes_weekly_summary,public,application_action_event,T
public,view_application_action_event_page_weekly_summary,public,application_action_event,T
public,view_application_action_event_page_weekly_summary,public,application_action_event,T
public,view_audit_author_summary,public,jv_commit,T
public,view_audit_author_summary,public,jv_commit,T
public,view_audit_author_summary,public,jv_commit,T
public,view_audit_data_summary,pg_catalog,pg_stat_user_tables,V
public,view_audit_data_summary,pg_catalog,pg_stat_user_tables,V
public,view_committee_productivity,public,assignment_data,T
public,view_committee_productivity,public,assignment_data,T
public,view_committee_productivity,public,assignment_data,T
public,view_committee_productivity,public,assignment_data,T
public,view_committee_productivity,public,assignment_data,T
public,view_committee_productivity,public,committee_document_data,T
public,view_committee_productivity,public,committee_document_data,T
public,view_committee_productivity,public,committee_document_data,T
public,view_committee_productivity,public,committee_document_data,T
public,view_committee_productivity,public,committee_document_data,T
public,view_committee_productivity,public,view_riksdagen_committee,V
public,view_committee_productivity,public,view_riksdagen_committee,V
public,view_committee_productivity,public,view_riksdagen_committee_ballot_decision_summary,M
public,view_committee_productivity,public,view_riksdagen_committee_ballot_decision_summary,M
public,view_committee_productivity,public,view_riksdagen_committee_ballot_decision_summary,M
public,view_committee_productivity,public,view_riksdagen_committee_ballot_decision_summary,M
public,view_committee_productivity,public,view_riksdagen_committee_ballot_decision_summary,M
public,view_committee_productivity,public,view_riksdagen_committee_decisions,M
public,view_committee_productivity,public,view_riksdagen_committee_decisions,M
public,view_committee_productivity,public,view_riksdagen_committee_decisions,M
public,view_committee_productivity_matrix,public,view_riksdagen_committee,V
public,view_committee_productivity_matrix,public,view_riksdagen_committee,V
public,view_committee_productivity_matrix,public,view_riksdagen_politician_document,M
public,view_committee_productivity_matrix,public,view_riksdagen_politician_document,M
public,view_committee_productivity_matrix,public,view_riksdagen_politician_document,M
public,view_committee_productivity_matrix,public,view_riksdagen_politician_document,M
public,view_committee_productivity_matrix,public,view_riksdagen_politician_document,M
public,view_document_data_committee_report_url,public,document_data,T
public,view_document_data_committee_report_url,public,document_data,T
public,view_ministry_effectiveness_trends,public,assignment_data,T
public,view_ministry_effectiveness_trends,public,assignment_data,T
public,view_ministry_effectiveness_trends,public,assignment_data,T
public,view_ministry_effectiveness_trends,public,view_riksdagen_politician_document,M
public,view_ministry_effectiveness_trends,public,view_riksdagen_politician_document,M
public,view_ministry_effectiveness_trends,public,view_riksdagen_politician_document,M
public,view_ministry_effectiveness_trends,public,view_riksdagen_politician_document,M
public,view_ministry_effectiveness_trends,public,view_riksdagen_politician_document,M
public,view_ministry_productivity_matrix,public,assignment_data,T
