hjid,address,city,co_address,email,fax_number,party_id,party_name,phone_number,post_code,registered_date,short_code,website,parties_sweden_election_regi_0,id,born_year,election_region,first_name,gender,hangar_guid,image_url_192,image_url_80,image_url_max,last_name,party,person_url_xml,place,status,person_assignment_data_perso_0,person_detail_data_person_da_0,total_documents,party_motions,individual_motions,committee_motions,multi_party_motions,documents_last_year,activity_level,activity_profile,collaboration_percentage
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0440225263920,1975,Kronobergs län,Robert,MAN,2e2b46be-0632-43ea-b405-812827557c47,https://data.riksdagen.se/filarkiv/bilder/ledamot/636bf682-393b-4ceb-a1d2-3172d8562627_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/636bf682-393b-4ceb-a1d2-3172d8562627_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/636bf682-393b-4ceb-a1d2-3172d8562627_max.jpg,Olesen,S,https://data.riksdagen.se/person/636bf682-393b-4ceb-a1d2-3172d8562627,"",Tjänstgörande riksdagsledamot,51048,51051,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0601988899907,1932,"",Ing-Marie,KVINNA,22729ea6-c8c6-4f9b-a48b-58420599df30,https://data.riksdagen.se/filarkiv/bilder/ledamot/108dc291-43fd-492f-8540-846fe2646311_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/108dc291-43fd-492f-8540-846fe2646311_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/108dc291-43fd-492f-8540-846fe2646311_max.jpg,Hansson,S,https://data.riksdagen.se/person/108dc291-43fd-492f-8540-846fe2646311,"",Tidigare riksdagsledamot,11878,11884,0,0,0,0,0,0,Inactive,None,0
20,Box 2253,Stockholm,"",info@liberalerna.se,08-509 116 60,3,Liberalerna,08-410 242 00,10316,2015-11-30,L,www.liberalerna.se,,2879b4b7-4db2-4fe4-9a0b-21452a6ddcee,1924,Kalmar län,Eric,MAN,2879b4b7-4db2-4fe4-9a0b-21452a6ddcee,https://data.riksdagen.se/filarkiv/bilder/ledamot/2879b4b7-4db2-4fe4-9a0b-21452a6ddcee_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/2879b4b7-4db2-4fe4-9a0b-21452a6ddcee_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/2879b4b7-4db2-4fe4-9a0b-21452a6ddcee_max.jpg,Rejdnell,L,https://data.riksdagen.se/person/2879b4b7-4db2-4fe4-9a0b-21452a6ddcee,"",Inga uppdrag,53026,53027,0,0,0,0,0,0,Inactive,None,0
20,Box 2253,Stockholm,"",info@liberalerna.se,08-509 116 60,3,Liberalerna,08-410 242 00,10316,2015-11-30,L,www.liberalerna.se,,bfd386d6-3e9c-4f36-98a7-b1c68311770f,1920,Norrbottens län,Bertil,MAN,bfd386d6-3e9c-4f36-98a7-b1c68311770f,https://data.riksdagen.se/filarkiv/bilder/ledamot/bfd386d6-3e9c-4f36-98a7-b1c68311770f_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/bfd386d6-3e9c-4f36-98a7-b1c68311770f_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/bfd386d6-3e9c-4f36-98a7-b1c68311770f_max.jpg,Öhvall,L,https://data.riksdagen.se/person/bfd386d6-3e9c-4f36-98a7-b1c68311770f,"",Inga uppdrag,50966,50968,0,0,0,0,0,0,Inactive,None,0
21,Box 2253,Stockholm,"",info@liberal.se,08-509 116 60,3,Folkpartiet liberalerna,08-410 242 00,10316,1990-12-17,FP,www.folkpartiet.se,,099373212513,1971,Jönköpings län,Tobias,MAN,51a010e7-c431-43e6-8c84-088526a9d9c4,https://data.riksdagen.se/filarkiv/bilder/ledamot/5f17fe11-6d1b-4bad-bad8-9d5af2fc73d4_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/5f17fe11-6d1b-4bad-bad8-9d5af2fc73d4_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/5f17fe11-6d1b-4bad-bad8-9d5af2fc73d4_max.jpg,Krantz,FP,https://data.riksdagen.se/person/5f17fe11-6d1b-4bad-bad8-9d5af2fc73d4,"",Tidigare riksdagsledamot,26411,26433,99,34,46,9,10,0,Medium,Individual-focused,10.1
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,,0497565513923,1976,Gävleborgs län,Ziita,KVINNA,6e246566-8619-4bb9-b2bb-230a2123a29a,https://data.riksdagen.se/filarkiv/bilder/ledamot/629ca13f-4191-4211-993b-25b4711069bd_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/629ca13f-4191-4211-993b-25b4711069bd_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/629ca13f-4191-4211-993b-25b4711069bd_max.jpg,Eriksson,M,https://data.riksdagen.se/person/629ca13f-4191-4211-993b-25b4711069bd,"",Tidigare ersättare,34474,34477,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,ff29f3ab-0df4-4030-84c4-97d9668eec92,1910,Kopparbergs län,Torsten,MAN,ff29f3ab-0df4-4030-84c4-97d9668eec92,https://data.riksdagen.se/filarkiv/bilder/ledamot/ff29f3ab-0df4-4030-84c4-97d9668eec92_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/ff29f3ab-0df4-4030-84c4-97d9668eec92_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/ff29f3ab-0df4-4030-84c4-97d9668eec92_max.jpg,Fredriksson,S,https://data.riksdagen.se/person/ff29f3ab-0df4-4030-84c4-97d9668eec92,"",Inga uppdrag,18807,18808,0,0,0,0,0,0,Inactive,None,0
23,Pustegränd 1-3,Stockholm,"","",08-545 224 60,55,Miljöpartiet de gröna,08-545 224 50,11820,1985-02-04,MP,www.mp.se,,0723453743904,1944,Gävleborgs län,Per-Johan,MAN,d5d590df-fe8e-4a7a-a0a7-3c1e37722d0e,https://data.riksdagen.se/filarkiv/bilder/ledamot/9dcb7a3b-0a4f-4bbb-903e-4c72a5ab2cf3_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/9dcb7a3b-0a4f-4bbb-903e-4c72a5ab2cf3_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/9dcb7a3b-0a4f-4bbb-903e-4c72a5ab2cf3_max.jpg,Emtell,MP,https://data.riksdagen.se/person/9dcb7a3b-0a4f-4bbb-903e-4c72a5ab2cf3,"",Tidigare riksdagsledamot,46530,46532,0,0,0,0,0,0,Inactive,None,0
38,Box 20085,Stockholm,"",info@sverigedemokraterna.se,08-50 00 00 68,110,Sverigedemokraterna,08-50 00 00 50,10460,1991-02-08,SD,www.sverigedemokraterna.se,,0183544538819,1972,Västra Götalands läns södra,Patrik,MAN,063845ad-fcfe-4c9a-8f56-a2bdfea5ce54,https://data.riksdagen.se/filarkiv/bilder/ledamot/0007cc9d-247c-4136-80d1-0bae44bd20ba_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/0007cc9d-247c-4136-80d1-0bae44bd20ba_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/0007cc9d-247c-4136-80d1-0bae44bd20ba_max.jpg,Jönsson,SD,https://data.riksdagen.se/person/0007cc9d-247c-4136-80d1-0bae44bd20ba,"",Tjänstgörande riksdagsledamot,43465,43491,36,0,26,10,0,0,Low,Individual-focused,0.0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0530425150220,1975,Stockholms kommun,Annika,KVINNA,ae97953b-3a4c-49ce-87f8-bec8613f41ab,https://data.riksdagen.se/filarkiv/bilder/ledamot/83b5647b-ccf4-4398-aefb-6d93152f951b_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/83b5647b-ccf4-4398-aefb-6d93152f951b_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/83b5647b-ccf4-4398-aefb-6d93152f951b_max.jpg,Strandhäll,S,https://data.riksdagen.se/person/83b5647b-ccf4-4398-aefb-6d93152f951b,"",Tjänstgörande riksdagsledamot,31621,31660,51,0,19,8,0,2,Medium,Individual-focused,0.0
