person_id,first_name,last_name,party,born_year,gender,first_assignment_date,last_assignment_date,total_days_served,total_days_served_parliament,total_days_served_committee,total_days_served_government,total_days_served_eu,active,total_assignments,current_assignments,total_days_served_speaker,active_speaker,total_days_served_party,active_party,current_committee_assignments,current_ministry_assignments,current_party_assignments,current_speaker_assignments,total_committee_assignments,total_party_assignments,total_speaker_assignments,total_ministry_assignments,active_eu,active_government,active_committee,active_parliament,total_committee_substitute_assignments,current_committee_substitute_assignments,total_days_served_committee_substitute,total_committee_leadership_assignments,current_committee_leadership_assignments,total_days_served_committee_leadership,total_committee_chair_assignments,current_committee_chair_assignments,total_committee_vice_chair_all_assignments,current_committee_vice_chair_all_assignments,total_suppleant_assignments,current_suppleant_assignments,total_statsminister_assignments,current_statsminister_assignments,total_party_leader_assignments,current_party_leader_assignments,total_party_secretary_assignments,current_party_secretary_assignments,total_documents,party_motions,individual_motions,committee_motions,multi_party_motions,follow_up_motions,documents_last_year,document_years_active,average_docs_per_year,doc_activity_level,doc_activity_profile,collaboration_percentage,document_types,first_document_date,last_document_date
0828721176319,Sten,Bergheden,M,1965,MAN,2006-11-16,2026-10-12,34651,6984,25960,0,0,t,37,5,0,f,0,f,3,0,0,0,30,0,0,0,f,f,t,t,24,2,19555,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,1236,0,1158,51,19,0,205,18,68.7,Very High,Individual-focused,1.5,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2007-09-28,2025-10-07
0994460509110,Maria,Fälth,KD,1963,KVINNA,2010-10-05,2013-01-01,156,78,78,0,0,f,3,0,0,f,0,f,0,0,0,0,1,0,0,0,f,f,f,f,1,0,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0627371646324,William,Petzäll,-,1988,MAN,2010-10-04,2012-09-01,5834,698,4405,0,0,f,17,0,0,f,0,f,0,0,0,0,14,0,0,0,f,f,f,f,14,0,4405,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,4,5,2,0,0,0,0,0,Low,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",2010-10-19,2011-10-06
0123485846301,Kersti,Johansson,C,1926,KVINNA,1982-10-04,1991-09-30,3283,3283,0,0,0,f,3,0,0,f,0,f,0,0,0,0,0,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0655028250417,Lena,Emilsson,S,1957,KVINNA,2014-09-29,2021-04-30,11049,1914,6248,0,0,f,24,0,0,f,0,f,0,0,0,0,18,0,0,0,f,f,f,f,18,0,6248,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,29,0,29,0,0,0,0,2,14.5,Low,Individual-focused,0.0,"{""mot:Enskild motion""}",2014-11-10,2017-10-04
0310304705606,Jan,Andersson,S,1947,MAN,1988-01-17,2009-07-14,9315,2289,4924,0,2102,f,14,0,0,f,0,f,0,0,0,0,8,0,0,0,f,f,f,f,4,0,2377,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0313210809828,Emil,Källström,C,1987,MAN,2010-10-04,2021-09-13,22033,3805,15683,0,0,f,30,0,0,f,0,f,0,0,0,0,23,0,0,0,f,f,f,f,21,0,13158,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,99,25,48,21,4,0,0,9,11.0,Medium,Individual-focused,4.0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2010-10-27,2020-03-04
0526772256714,Göran,Hargestam,SD,1966,MAN,2024-03-15,2025-12-08,2007,633,1001,0,0,f,9,0,0,f,0,f,0,0,0,0,5,0,0,0,f,f,f,f,5,0,1001,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,6,4,0,0,5,1,10.0,Low,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2024-09-17,2025-10-06
0574355225922,Fredrik,Eriksson,SD,1975,MAN,2014-10-22,2018-09-24,2773,1432,1341,0,0,f,3,0,0,f,0,f,0,0,0,0,1,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5,40,19,0,0,0,3,21.3,Medium,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",2014-11-10,2018-01-19
027964311318,Karin,Sundin,S,1972,KVINNA,2022-09-26,2026-09-28,2449,1191,1258,0,0,t,4,3,0,f,0,f,2,0,0,0,3,0,0,0,f,f,t,t,2,1,966,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,62,0,50,12,0,0,27,2,31.0,Medium,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2023-10-04,2025-10-15
0468775142013,Christina,Oskarsson,S,1951,KVINNA,1998-10-05,2015-02-18,24431,5838,10149,0,0,f,19,0,0,f,2915,f,0,0,0,0,8,2,0,0,f,f,f,f,4,0,4343,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,469,0,415,39,12,0,0,14,33.5,Very High,Individual-focused,2.6,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",2000-04-05,2014-04-29
0745594497101,Lars-Ivar,Ericson,C,1948,MAN,2002-09-30,2009-01-31,8340,2315,6025,0,0,f,7,0,0,f,0,f,0,0,0,0,5,0,0,0,f,f,f,f,4,0,5181,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,197,1,147,34,15,0,0,5,39.4,High,Individual-focused,7.6,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2002-10-23,2008-10-08
0840215353615,Anders,Nordin,MP,1949,MAN,1990-04-11,1990-05-11,60,0,60,0,0,f,2,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,2,0,60,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0185498861416,Lena,Sommestad,S,1957,KVINNA,2002-09-30,2014-10-14,5538,576,576,1467,0,f,6,0,0,f,0,f,0,0,0,0,1,0,0,2,f,f,f,f,1,0,576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,87,7,0,0,0,1,94.0,Medium,Individual-focused,0.0,"{""mot:Enskild motion"",mot:Kommittémotion}",2012-09-26,2014-06-16
0393820702706,John,Rignell,M,1937,MAN,1990-02-12,1990-03-23,78,39,39,0,0,f,2,0,0,f,0,f,0,0,0,0,1,0,0,0,f,f,f,f,1,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0677738818613,Anders,Åkesson,C,1958,MAN,2006-10-02,2022-09-26,34639,5838,21529,0,0,f,34,0,0,f,0,f,0,0,0,0,25,0,0,0,f,f,f,f,19,0,15723,2,0,1455,0,0,2,0,19,0,0,0,0,0,0,0,334,24,268,40,1,0,0,14,23.9,Very High,Individual-focused,0.3,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2006-10-31,2021-09-30
0950559490627,Marie,Wickberg,C,1984,KVINNA,2011-05-11,2012-03-04,402,136,266,0,0,f,8,0,0,f,0,f,0,0,0,0,6,0,0,0,f,f,f,f,6,0,266,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
075784887694,Hugo,Hegeland,M,1922,MAN,1982-10-04,1994-10-03,6555,4382,2173,0,0,f,6,0,0,f,0,f,0,0,0,0,2,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0156574552406,Eva,Eriksson,FP,1947,KVINNA,1994-10-03,1998-10-05,4246,1463,1454,0,0,f,3,0,0,f,0,f,0,0,0,0,1,0,0,0,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
0754692641206,Marianne,Andersson,C,1942,KVINNA,1985-09-30,2006-10-16,30280,6209,16999,0,0,f,32,0,0,f,0,f,0,0,0,0,21,0,0,0,f,f,f,f,10,0,10157,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,179,3,38,55,64,0,0,2,89.5,High,Committee-focused,35.8,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",2000-02-24,2002-06-13
0420875837811,Margareta,Persson,S,1950,KVINNA,1983-01-01,1991-09-30,2854,1787,1067,0,0,f,6,0,0,f,0,f,0,0,0,0,3,0,0,0,f,f,f,f,2,0,707,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive,None,0,,,
