embedded_id_page,embedded_id_element_id,embedded_id_created_date,hits,rank_percentage,rank,rn
politicianranking,DATAGRID,2026-01-15 00:00:00,3,0,1,1
politician,0386912710815,2026-01-15 00:00:00,1,0,1,2
countryranking,MS.MIL.XPND.CD,2026-01-16 00:00:00,1,0,1,1
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2026-01-16 00:00:00,1,0,1,2
politicianranking,DATAGRID,2026-01-18 00:00:00,1,0,1,1
partyranking,CURRENTPARTYLEADERSCORECARD,2026-01-18 00:00:00,1,0,1,2
partyranking,DATAGRID,2026-01-21 00:00:00,7,0,1,1
politicianranking,DATAGRID,2026-01-21 00:00:00,2,0,1,2
politicianranking,DATAGRID,2026-01-24 00:00:00,1,0,1,1
partyranking,DATAGRID,2026-01-24 00:00:00,1,0,1,2
politicianranking,DATAGRID,2026-01-26 00:00:00,1,0,1,1
partyranking,DATAGRID,2026-01-26 00:00:00,1,0,1,2
politicianranking,DATAGRID,2026-01-30 00:00:00,1,0,1,1
committeeranking,ALLPARTIES,2026-02-03 00:00:00,1,0,1,1
adminlanguage,124,2026-02-03 00:00:00,1,0,1,2
document,rdhdc120260205ip,2026-02-06 00:00:00,17,0,1,1
document,hd0i70,2026-02-06 00:00:00,1,1,5,2
main,LOGIN,2026-02-13 00:00:00,1,0,1,1
