id,author,changes,first_date,last_date
4599682,c15fcfb8-d698-40c0-a0b6-d2707c536861,4,2025-02-07 21:39:22.584,2025-02-07 21:39:32.984
4598638,6266de55-9f36-4ab6-92f0-29be477b29c8,4,2025-02-07 21:38:22.441,2025-02-07 21:38:31.525
4598023,f182abd1-b95c-435a-ba4e-565b0f45afd3,2,2025-02-07 21:37:46.846,2025-02-07 21:37:47.04
4602071,7abedae6-af7a-4fdc-9090-46852df10316,2,2025-02-07 21:40:00.835,2025-02-07 21:40:00.948
291,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,167,2025-01-31 12:34:27.622,2025-11-20 17:35:02.525
4596915,ROLE_ANONYMOUS,4,2025-02-07 21:36:36.56,2025-02-07 21:40:04.55
151,service.impl.BootstrapDefaultConfig,136,2025-01-31 12:32:15.612,2025-01-31 12:32:15.938
4602627,b8a7a886-b4a4-4456-9fdd-e9d03811c66a,5,2025-02-07 21:40:21.562,2025-02-07 21:40:30.432
4597915,fa6660e0-74d9-426c-b84c-8320a83eb3e8,2,2025-02-07 21:37:37.418,2025-02-07 21:37:40.131
4596923,AnonymousUser,2,2025-02-07 21:36:36.758,2025-02-07 21:40:04.576
4601645,f227ebcd-7220-42d4-9a41-f1e36b0432ce,5,2025-02-07 21:39:44.522,2025-02-07 21:39:54.59
4599794,system,10855,2025-02-07 21:39:27.094,2025-11-20 17:23:38.885
4598449,fba44544-edcb-4237-9ec6-a4040ed71cb2,3,2025-02-07 21:38:08.127,2025-02-07 21:38:14.303
100,system.agent,4651108,2025-01-31 12:32:15.13,2025-11-21 10:30:59.567
4597803,28ce20cd-8591-4aed-9133-3e277bf95cc3,3,2025-02-07 21:37:25.908,2025-02-07 21:37:31.947
287,anonymousUser,339,2025-01-31 12:33:44.413,2025-11-20 17:20:25.196
4597485,da453f9f-b82a-493d-bcb5-4c5455cff248,5,2025-02-07 21:37:08.431,2025-02-07 21:37:17.822
140,system.init,11,2025-01-31 12:32:15.427,2025-01-31 12:32:15.55
4599463,40784866-b6a6-4559-b448-68a0471f6664,2,2025-02-07 21:39:11.645,2025-02-07 21:39:11.805
