embedded_id_date,embedded_id_party,embedded_id_other_party,agree_count,disagre_count,disagree_percentage,total_ballots
2010-03-01,M,S,13,30,69,43
2021-03-01,C,V,46,45,49,91
2023-11-01,S,V,8,11,57,19
2012-01-01,SD,S,2,4,66,6
2015-05-01,MP,SD,9,12,57,21
2023-12-01,SD,C,9,5,35,14
2024-03-01,S,SD,20,33,62,53
2013-02-01,L,C,83,0,0,83
2017-12-01,S,C,19,20,51,39
2012-06-01,M,V,5,10,66,15
2020-06-01,C,L,53,16,23,69
2011-01-01,KD,SD,5,14,73,19
2016-01-01,V,KD,4,1,20,5
2013-10-01,V,C,3,8,72,11
2006-06-01,KD,MP,1,0,0,1
2024-06-01,KD,C,37,19,33,56
2009-10-01,L,KD,17,0,0,17
2004-02-01,MP,S,39,25,39,64
2008-02-01,KD,C,34,0,0,34
2012-05-01,MP,SD,33,83,71,116
2016-11-01,V,KD,7,10,58,17
2006-11-01,L,C,16,0,0,16
2005-06-01,M,V,5,16,76,21
2022-09-01,SD,M,1,0,0,1
2008-04-01,S,L,23,37,61,60
2013-03-01,SD,M,53,31,36,84
2018-05-01,MP,V,83,24,22,107
2005-06-01,-,V,20,1,4,21
2024-04-01,SD,V,50,66,56,116
2011-05-01,S,M,30,38,55,68
2011-11-01,M,L,46,0,0,46
2021-03-01,V,KD,38,53,58,91
2018-01-01,SD,-,22,0,0,22
2010-02-01,MP,S,39,15,27,54
2003-02-01,V,MP,55,16,22,71
2009-02-01,M,V,4,40,90,44
2006-11-01,C,MP,6,10,62,16
2008-01-01,KD,C,7,0,0,7
2013-09-01,M,L,7,0,0,7
2010-06-01,MP,S,36,6,14,42
2022-05-01,SD,-,65,81,55,146
2005-01-01,MP,C,5,7,58,12
2025-02-01,KD,C,24,13,35,37
2022-10-01,MP,M,0,2,100,2
2024-06-01,L,M,56,0,0,56
2024-01-01,C,M,8,4,33,12
2023-04-01,L,M,104,0,0,104
2022-12-01,S,SD,8,2,20,10
2015-05-01,KD,C,17,4,19,21
2005-08-01,C,-,2,5,71,7
