role_id,detail,role_code,first_name,last_name,from_date,to_date,person_id,party,total_days_served,active,total_documents,documents_last_year,total_committee_reports,total_statements,total_initiatives,activity_level,role_type,committee_type
29182,Trafikutskottet,Suppleant,Göran,Lindell,2015-09-24,2015-09-24,0397377293714,C,0,f,0,0,0,0,0,Inactive,Deputy Member,Transport
42525,Konstitutionsutskottet,Suppleant,Per Olof,Håkansson,1991-09-30,1994-10-02,0522191574902,S,1098,f,0,0,0,0,0,Inactive,Deputy Member,Constitution
9235,Miljö- och jordbruksutskottet,Ledamot,Ingemar,Josefsson,1994-10-11,1998-10-04,0489591175704,S,1454,f,0,0,0,0,0,Inactive,Member,Environment and Agriculture
15110,Miljö- och jordbruksutskottet,Ordförande,Kristina,Yngwe,2018-10-02,2020-04-16,0884738092723,C,562,f,1,0,0,0,1,Inactive,Chairman,Environment and Agriculture
5397,Justitieutskottet,Suppleant,Maria,Ferm,2022-01-11,2022-09-26,0462699892622,MP,258,f,0,0,0,0,0,Inactive,Deputy Member,Justice
44930,Socialförsäkringsutskottet,Ledamot,Solveig,Zander,2010-10-12,2014-09-29,0196077326617,C,1448,f,0,0,0,0,0,Inactive,Member,Social Insurance
51634,Finansutskottet,Suppleant,Malcolm Momodou,Jallow,2020-03-18,2022-09-26,0254695027922,V,922,f,55,4,0,0,55,Low,Deputy Member,Finance
9162,Justitieutskottet,Suppleant,Jan,Ertsborn,2004-09-14,2006-10-02,09812885803,FP,748,f,0,0,0,0,0,Inactive,Deputy Member,Justice
23581,Konstitutionsutskottet,Suppleant,Jabar,Amin,2010-10-12,2014-09-29,0849219210615,MP,1448,f,0,0,0,0,0,Inactive,Deputy Member,Constitution
8321,Näringsutskottet,Ordförande,Lennart,Pettersson,1988-10-11,1991-09-29,0805469037201,S,1083,f,0,0,0,0,0,Inactive,Chairman,Industry and Trade
17485,Utrikesutskottet,Suppleant,Shadiye,Heydari,2014-11-25,2017-07-27,0231432628318,S,975,f,0,0,0,0,0,Inactive,Deputy Member,Foreign Affairs
19515,Utrikesutskottet,Suppleant,Kaj,Nordquist,2003-02-20,2003-08-01,0976656359110,S,162,f,0,0,0,0,0,Inactive,Deputy Member,Foreign Affairs
48949,Trafikutskottet,Suppleant,Henrik,Vinge,2020-03-18,2022-09-26,0406831930624,SD,922,f,1,0,0,0,1,Inactive,Deputy Member,Transport
24664,Civilutskottet,Ledamot,Jennie,Wernäng,2025-01-24,2026-09-21,098329342620,M,301,t,1,0,0,0,1,Inactive,Member,Civil Affairs
9559,Trafikutskottet,Suppleant,Viviann,Gerdin,1998-10-13,2002-09-30,019623784404,C,1448,f,0,0,0,0,0,Inactive,Deputy Member,Transport
8837,Socialförsäkringsutskottet,Ledamot,Kerstin,Kristiansson Karlstedt,2002-10-08,2006-10-02,0836614547702,S,1455,f,0,0,0,0,0,Inactive,Member,Social Insurance
42596,Försvarsutskottet,Suppleant,Anders,Hansson,2014-10-07,2018-09-24,0843345349823,M,1448,f,18,0,0,0,18,Inactive,Deputy Member,Defense
