party,year,quarter,period,participation_rate,momentum,trend_direction,stability_classification
-,2026,2,2026-Q2,0.53,0.14,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2026,2,2026-Q2,0.44,0.10,STRONG_POSITIVE,HIGHLY_VOLATILE
KD,2026,2,2026-Q2,0.82,-0.03,NEGATIVE,STABLE
L,2026,2,2026-Q2,0.75,-0.06,STRONG_NEGATIVE,STABLE
M,2026,2,2026-Q2,0.85,-0.01,STABLE,VERY_STABLE
MP,2026,2,2026-Q2,0.23,-0.06,STRONG_NEGATIVE,VOLATILE
S,2026,2,2026-Q2,0.38,0.05,POSITIVE,HIGHLY_VOLATILE
SD,2026,2,2026-Q2,0.86,0.01,STABLE,STABLE
V,2026,2,2026-Q2,0.24,-0.06,STRONG_NEGATIVE,VOLATILE
-,2026,1,2026-Q1,0.40,0.16,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2026,1,2026-Q1,0.34,-0.20,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2026,1,2026-Q1,0.85,-0.01,STABLE,STABLE
L,2026,1,2026-Q1,0.80,-0.01,STABLE,VERY_STABLE
M,2026,1,2026-Q1,0.86,-0.01,STABLE,VERY_STABLE
MP,2026,1,2026-Q1,0.29,-0.02,NEGATIVE,VOLATILE
S,2026,1,2026-Q1,0.34,-0.11,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2026,1,2026-Q1,0.85,0.06,STRONG_POSITIVE,VOLATILE
V,2026,1,2026-Q1,0.30,0.00,STABLE,HIGHLY_VOLATILE
-,2025,4,2025-Q4,0.24,-0.76,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2025,4,2025-Q4,0.54,-0.34,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2025,4,2025-Q4,0.86,-0.04,NEGATIVE,STABLE
L,2025,4,2025-Q4,0.82,0.00,STABLE,VERY_STABLE
M,2025,4,2025-Q4,0.87,-0.01,STABLE,VERY_STABLE
MP,2025,4,2025-Q4,0.31,0.31,STRONG_POSITIVE,VOLATILE
S,2025,4,2025-Q4,0.44,-0.43,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2025,4,2025-Q4,0.79,-0.08,STRONG_NEGATIVE,VOLATILE
V,2025,4,2025-Q4,0.30,0.30,STRONG_POSITIVE,HIGHLY_VOLATILE
-,2025,2,2025-Q2,0.34,-0.27,STRONG_NEGATIVE,VOLATILE
C,2025,2,2025-Q2,0.40,-0.03,NEGATIVE,STABLE
KD,2025,2,2025-Q2,0.82,0.01,STABLE,VERY_STABLE
L,2025,2,2025-Q2,0.81,0.01,STABLE,VERY_STABLE
M,2025,2,2025-Q2,0.86,0.00,STABLE,VERY_STABLE
MP,2025,2,2025-Q2,0.29,0.02,POSITIVE,STABLE
S,2025,2,2025-Q2,0.40,-0.08,STRONG_NEGATIVE,VOLATILE
SD,2025,2,2025-Q2,0.61,0.01,STABLE,MODERATE
V,2025,2,2025-Q2,0.38,0.04,POSITIVE,MODERATE
-,2025,1,2025-Q1,0.61,0.11,STRONG_POSITIVE,MODERATE
C,2025,1,2025-Q1,0.43,-0.03,NEGATIVE,VERY_STABLE
KD,2025,1,2025-Q1,0.81,-0.02,STABLE,VERY_STABLE
L,2025,1,2025-Q1,0.80,-0.01,STABLE,VERY_STABLE
M,2025,1,2025-Q1,0.86,0.02,STABLE,VERY_STABLE
MP,2025,1,2025-Q1,0.27,0.02,POSITIVE,MODERATE
S,2025,1,2025-Q1,0.48,0.06,STRONG_POSITIVE,VOLATILE
SD,2025,1,2025-Q1,0.60,-0.21,STRONG_NEGATIVE,MODERATE
V,2025,1,2025-Q1,0.34,0.08,STRONG_POSITIVE,MODERATE
-,2024,4,2024-Q4,0.50,0.13,STRONG_POSITIVE,MODERATE
C,2024,4,2024-Q4,0.46,0.02,POSITIVE,STABLE
KD,2024,4,2024-Q4,0.83,0.04,POSITIVE,VERY_STABLE
