party,experience_level,politician_count
"",MIXED_EXPERIENCE,15
-,ACTIVE_COMMITTEES,12
-,LONG_SERVING_PARLIAMENT,7
-,MIXED_EXPERIENCE,7
C,ACTIVE_COMMITTEES,66
C,EXTENSIVE_EXPERIENCE,1
C,LONG_SERVING_PARLIAMENT,54
C,MIXED_EXPERIENCE,51
C,PARTY_LEADERSHIP,1
FP,ACTIVE_COMMITTEES,33
FP,LONG_SERVING_PARLIAMENT,29
FP,MIXED_EXPERIENCE,54
KD,ACTIVE_COMMITTEES,63
KD,EXTENSIVE_EXPERIENCE,2
KD,LONG_SERVING_PARLIAMENT,34
KD,MIXED_EXPERIENCE,27
KD,PARTY_LEADERSHIP,2
L,ACTIVE_COMMITTEES,31
L,EXTENSIVE_EXPERIENCE,1
L,LONG_SERVING_PARLIAMENT,18
L,MIXED_EXPERIENCE,21
L,SIGNIFICANT_GOVERNMENT,1
M,ACTIVE_COMMITTEES,154
M,EXTENSIVE_EXPERIENCE,8
M,LONG_SERVING_PARLIAMENT,154
M,MIXED_EXPERIENCE,120
M,PARTY_LEADERSHIP,1
MP,ACTIVE_COMMITTEES,88
MP,EXTENSIVE_EXPERIENCE,1
MP,LONG_SERVING_PARLIAMENT,15
MP,MIXED_EXPERIENCE,35
MP,PARTY_LEADERSHIP,3
NYD,ACTIVE_COMMITTEES,16
NYD,MIXED_EXPERIENCE,8
PP,MIXED_EXPERIENCE,2
S,ACTIVE_COMMITTEES,156
S,EXTENSIVE_EXPERIENCE,12
S,LONG_SERVING_PARLIAMENT,277
S,MIXED_EXPERIENCE,239
S,PARTY_LEADERSHIP,2
S,SIGNIFICANT_GOVERNMENT,6
SD,ACTIVE_COMMITTEES,63
SD,LONG_SERVING_PARLIAMENT,26
SD,MIXED_EXPERIENCE,37
V,ACTIVE_COMMITTEES,64
V,LONG_SERVING_PARLIAMENT,43
V,MIXED_EXPERIENCE,31
V,PARTY_LEADERSHIP,1
