embedded_id_id,embedded_id_issue,embedded_id_hangar_id,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male
GY01JuU12,3,2383062,JuU12,2010/11,Unga lagöverträdare,Påföljder för unga lagöverträdare m.m.,0,JUU,2011-02-21,2011-02-21,91D408AA-7042-458A-8509-6F72A8AEA511,röstning,"""SD""",4,utskottet,SAKFRÅGAN,HUVUD,JuU12,2011-02-21,1963,349,282,19,0,48,t,f,80.80,5.44,13.75,0.00,54.15
H101NU7,5,2877243,NU7,2013/14,Statliga företag,Sveaskog AB:s arrendepriser,0,NU,2013-12-18,2013-12-18,421B632F-EEAE-4447-BA1B-8928EEF12895,röstning,"""S"",""V""",9,utskottet,SAKFRÅGAN,HUVUD,NU7,2014-01-22,1963,349,185,109,0,55,t,f,53.01,31.23,15.76,0.00,56.73
GR01BOU8,1,2300552,BOU8,2003/04,Bostadsförsörjningsfrågor,Avskaffande av lagen om kommunernas bostadsförsörjningsansvar,0,BOU,2004-04-01,2006-03-15,5C311B3B-C5B4-40AA-BB7B-6B7EF6046908,röstning,"""m"",""c"",""fp"",""kd""",1,utskottet,SAKFRÅGAN,HUVUD,BOU8,2004-04-01,1954,349,161,128,0,60,t,f,46.13,36.68,17.19,0.00,54.73
GY01TU17,3,2419624,TU17,2010/11,Infrastrukturens planering,Medfinansiering,0,TU,2011-03-30,2011-03-30,A7A001F9-81E0-4FBA-B438-25941E01ADAF,röstning,"""S"",""MP"",""V""",2,utskottet,SAKFRÅGAN,HUVUD,TU17,2011-03-30,1963,349,151,116,0,82,t,f,43.27,33.24,23.50,0.00,54.44
GY01JuU8,20,2377773,JuU8,2010/11,Straffrättsliga frågor,Övergrepp i rättssak,0,JUU,2011-01-19,2011-01-19,5C7F865C-F849-43A1-8002-223C7B8221B2,röstning,"""SD""",15,utskottet,SAKFRÅGAN,HUVUD,JuU8,2011-01-19,1963,349,278,19,0,52,t,f,79.66,5.44,14.90,0.00,54.44
GV01SkU23,1,2284033,SkU23,2007/08,Nya regler om beslut och betalning avseende trängselskatt,Nya regler om beslut och betalning avseende trängselskatt m.m.,0,SKU,2008-04-01,2008-04-01,BD6E60E9-D311-4883-B0DD-D19F95518559,röstning,"""v""",1,utskottet,SAKFRÅGAN,HUVUD,SkU23,2008-04-01,1958,349,244,20,16,69,t,f,69.91,5.73,19.77,4.58,53.30
GW01UU11,2,2222081,UU11,2008/09,Vissa säkerhetspolitiska frågor ,Sveriges säkerhetspolitiska vägval i en globaliserad värld,0,UU,2009-06-02,2009-06-03,3ED10897-E8D4-4B9C-9AA3-CB4D13061E7A,röstning,"""v"",""mp""",2,utskottet,SAKFRÅGAN,HUVUD,UU11,2009-06-02,1958,349,266,37,0,46,t,f,76.22,10.60,13.18,0.00,52.72
GQ01UMJU1,4,2289341,UMJU1,2002/03,Johannesburg  -  FN:s  världstoppmöte  om  hållbarutveckling,Förändrade konsumtions- och produktionsmönster,0,UMJU,2003-04-29,2006-03-15,818980B5-7987-11D7-AF13-000475505303,röstning,"""mp""",12,utskottet,SAKFRÅGAN,HUVUD,UMJU1,2003-04-29,1954,349,177,15,116,41,t,f,50.72,4.30,11.75,33.24,55.30
H001AU6,3,2819546,AU6,2012/13,"Åtgärder inom arbetslöshetsförsäkringen, m.m.",Allmänna principer för försäkringen,0,AU,2013-02-25,2013-02-25,BB8D3014-D7BA-4C14-96DE-4696F93968CC,röstning,"""S""",3,utskottet,SAKFRÅGAN,HUVUD,AU6,2013-02-25,1963,349,146,93,56,54,t,f,41.83,26.65,15.47,16.05,56.73
GY01TU12,5,2380331,TU12,2010/11,"Väg-, fordons- och trafikfrågor",Krav på bilbesiktning,0,TU,2011-03-07,2011-03-07,6E306404-D41E-46D7-9A73-96CF54554B4D,röstning,"""SD""",5,utskottet,SAKFRÅGAN,HUVUD,TU12,2011-03-07,1963,349,289,19,0,41,t,f,82.81,5.44,11.75,0.00,54.44
