hjid,address,city,co_address,email,fax_number,party_id,party_name,phone_number,post_code,registered_date,short_code,website,parties_sweden_election_regi_0
3,Kyrkogatan 9,Arlöv,"","",040-43 00 75,14,Allianspartiet/Medborgarens röst,040-43 45 46,23234,2009-06-12,ALP,"",
20,Box 2253,Stockholm,"",info@liberalerna.se,08-509 116 60,3,Liberalerna,08-410 242 00,10316,2015-11-30,L,www.liberalerna.se,
35,Orups gränd 3,Halmstad,"",info@spi-valfarden.se,"",107,SPI Välfärden,08-550 30 333,30243,2013-07-02,SPI,www.spi-valfarden.se,
33,Adressuppgift saknas,"","",info@socialapartiet.se,"",522,Sociala Partiet (SP),"","",2009-02-11,---,www.socialapartiet.se,
27,Box 272,Östersund,"",jt.lindh@norrlandspartiet,"",995,Norrländska Samlingspartiet,072-22 55 26,83123,2010-02-26,NorrS,www.norrlandska-samlingspartiet.se,
19,Rungarns säteri 4,Knutby,c/o Claes Littorin,c.littorin@telia.com,"",1011,Landsbygdspartiet Oberoende,0708-56 96 92,74012,2012-10-31,LBPO,www.landsbygdspartiet.org,
1,"","","","","",232323,Politiskt Vilde,"","",1971-01-01,-,"",
11,Box 498,Stockholm,"",info@feministisktinitiativ.se,"",532,Feministiskt initiativ,070-610 01 91,10129,2006-03-07,FI,www.feministisktinitiativ.se,
5,Kumminvägen 19,Farsta,c/o Anders Königsson,"","",1147,Borgerlig Framtid,073-694 13 14,12355,,---,"",
7,Jägaregatan 9 A,Göteborg,c/o Johan Liljegren,info@direktdemokraterna.se,"",1150,Direktdemokraterna,070-670 85 68,41701,2014-07-01,---,www.direktdemokraterna.se,
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,
39,Bokskogsbacken 83,Hisings Backa,c/o Theo Papaioannou,info@vagvaletgbg.se,"",1138,Vägvalet,0730-94 95 91,42256,2014-02-21,VägV,www.vagvaletgbg.se,
31,"Näsbyborg, Näsbyborgsvägen 202",Lövestad,c/o Johan Söderlin,soderlin@hotmail.com,"",172,Sjöbopartiet,0416-340 49,27572,1991-03-27,SJP,"",
38,Box 20085,Stockholm,"",info@sverigedemokraterna.se,08-50 00 00 68,110,Sverigedemokraterna,08-50 00 00 50,10460,1991-02-08,SD,www.sverigedemokraterna.se,
6,Box 2200,Stockholm,"",centerpartiet@centerpartiet.se,08-617 38 10,4,Centerpartiet,08-617 38 00,10315,1995-05-18,C,www.centerpartiet.se,
13,Adressuppgift saknas,"","","","",452,Högerpartiet de konservativa,070-460 97 07,"",2004-03-11,---,"",
30,Box 73,Farsta,"",rs@socialisterna.org,08-556 252 52,131,Rättvisepartiet Socialisterna,08-605 94 03,12322,1998-03-31,RS,www.socialisterna.org,
29,Box 307,Stockholm,"",info@piratpartiet.se,"",524,Piratpartiet,08-720 04 00,10126,2006-02-15,PP,www.piratpartiet.se,
15,Box 38021,Stockholm,"",info@liberalapartiet.se,"",638,Klassiskt liberala partiet,070-608 10 89,10064,2015-03-25,KLP,www.liberalapartiet.se,
