embedded_id_ballot_id,embedded_id_concern,embedded_id_issue,ballot_type,rm,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male
82B62C6E-6431-45F0-94B0-92BB9F1F14B2,SAKFRÅGAN,2,HUVUD,2024/25,JuU6,2024-11-27,1975,349,187,93,21,48,t,f,53.58,26.65,13.75,6.02,54.44
055CC158-1EAF-11D9-AE95-0004755053B2,SAKFRÅGAN,1,HUVUD,2004/05,FIU13,2004-10-28,1954,349,252,46,1,50,t,f,72.21,13.18,14.33,0.29,53.30
E5AAC651-FE1A-11D6-AE81-000475504780,SAKFRÅGAN,3,HUVUD,2002/03,BOU3,2002-11-26,1954,349,197,51,63,38,t,f,56.45,14.61,10.89,18.05,54.73
28E85EF8-7CF2-44EF-9096-00AABCF3FA0A,SAKFRÅGAN,1,HUVUD,2010/11,JuU12,2011-02-21,1963,349,204,94,0,51,t,f,58.45,26.93,14.61,0.00,54.15
F2AC3C8F-A917-408D-A188-40DB5936C8A1,SAKFRÅGAN,4,HUVUD,2017/18,UbU23,2018-05-23,1970,349,257,38,0,54,t,f,73.64,10.89,15.47,0.00,54.15
97AEE06C-4991-4C01-A423-AEAACC4C9A16,SAKFRÅGAN,8,HUVUD,2006/07,SoU1,2006-12-06,1958,349,148,138,0,63,t,f,42.41,39.54,18.05,0.00,52.72
872C8EDA-EE35-4E40-A666-632DFD027690,SAKFRÅGAN,4,HUVUD,2023/24,KrU3,2024-03-20,1975,349,168,91,33,57,t,f,48.14,26.07,16.33,9.46,53.01
104F6C19-8E3E-4485-B8C2-4F591B1B3F49,SAKFRÅGAN,1,HUVUD,2008/09,CU26,2009-04-22,1959,349,147,138,0,64,t,f,42.12,39.54,18.34,0.00,52.44
7CD14FE1-0E52-4DF0-9CA7-A72E28D7F698,SAKFRÅGAN,2,HUVUD,2021/22,MJU21,2022-04-20,1973,349,292,13,0,44,t,f,83.67,3.72,12.61,0.00,53.01
D3729075-9FF2-452D-9427-AB6348547864,MOTIVFRÅGAN,2,HUVUD,2016/17,JuU8,2017-01-25,1969,349,121,33,134,61,t,f,34.67,9.46,17.48,38.40,53.58
8DEAD984-245C-403D-978E-DC136DF4385C,SAKFRÅGAN,1,HUVUD,2023/24,SoU24,2024-05-02,1975,349,198,93,0,58,t,f,56.73,26.65,16.62,0.00,52.72
2F81F9F2-750E-4EEB-B48E-8DDE0D79751E,SAKFRÅGAN,2,HUVUD,2017/18,UbU16,2018-05-03,1970,349,202,74,17,56,t,f,57.88,21.20,16.05,4.87,54.15
838C71CA-DCD1-4B62-917E-22B6BE6A719E,SAKFRÅGAN,7,HUVUD,2005/06,SoU31,2006-05-16,1954,349,253,36,0,60,t,f,72.49,10.32,17.19,0.00,53.30
C2194D4A-3017-4DA0-89FA-A2239207E777,SAKFRÅGAN,10,HUVUD,2023/24,SoU6,2024-02-15,1975,349,172,128,0,49,t,f,49.28,36.68,14.04,0.00,52.44
949AEB3E-638B-4F50-A842-3D5305CE1898,SAKFRÅGAN,8,HUVUD,2006/07,AU7,2007-02-13,1958,349,158,151,0,40,t,f,45.27,43.27,11.46,0.00,52.15
1DDCB46B-E388-4CC1-8121-45D76C47D3A1,SAKFRÅGAN,8,HUVUD,2018/19,SoU3,2018-12-12,1973,349,281,61,0,7,t,f,80.52,17.48,2.01,0.00,53.30
7B7AD291-DE46-4601-A5A0-F84BD0C31C61,SAKFRÅGAN,5,HUVUD,2016/17,SfU18,2017-04-05,1969,349,178,40,86,45,t,f,51.00,11.46,12.89,24.64,53.58
D48F6310-EC1C-43D4-9386-8E9346F5CDA6,SAKFRÅGAN,30,HUVUD,2004/05,SFU10,2005-03-17,1954,349,152,38,106,53,t,f,43.55,10.89,15.19,30.37,54.15
496E29CC-B2DC-4D5B-86D9-EC36CF4FF655,SAKFRÅGAN,3,HUVUD,2013/14,CU10,2014-03-27,1963,349,266,19,0,64,t,f,76.22,5.44,18.34,0.00,56.45
6265402D-BAEB-4AAE-8BFC-BC4F5A399994,SAKFRÅGAN,3,HUVUD,2005/06,SoU6,2005-12-08,1954,349,231,13,20,85,t,f,66.19,3.72,24.36,5.73,53.58
D7A34AEE-57FD-4B66-B712-31F32EFFCF3D,SAKFRÅGAN,8,HUVUD,2003/04,MJU16,2004-04-27,1954,349,215,34,23,77,t,f,61.60,9.74,22.06,6.59,55.01
DC5F02D1-43E8-4FDA-8508-3637A900C387,SAKFRÅGAN,19,HUVUD,2009/10,KrU1,2009-12-07,1959,349,262,16,0,71,t,f,75.07,4.58,20.34,0.00,53.58
4C6EE81B-214A-4785-94C7-5F3106D332D2,SAKFRÅGAN,9,HUVUD,2014/15,KrU8,2015-04-09,1969,349,271,39,0,39,t,f,77.65,11.17,11.17,0.00,55.30
75115829-88AB-4822-90F5-84FE17125710,SAKFRÅGAN,11,HUVUD,2019/20,UbU12,2020-05-07,1973,349,36,3,16,294,t,f,10.32,0.86,84.24,4.58,51.86
BA451ABA-0F71-4FFB-80ED-5EDE0115A05F,SAKFRÅGAN,3,HUVUD,2013/14,FiU1,2013-11-20,1963,349,248,21,38,42,t,f,71.06,6.02,12.03,10.89,55.59
BA88E798-672D-4E05-8CC3-F3A174DF453E,SAKFRÅGAN,8,HUVUD,2007/08,JuU1,2007-11-27,1958,349,168,111,19,51,t,f,48.14,31.81,14.61,5.44,52.72
1A1B8AB6-4C5F-4EEA-8168-3880591759EB,SAKFRÅGAN,1,HUVUD,2010/11,SfU1,2010-12-09,1963,349,255,20,42,32,t,f,73.07,5.73,9.17,12.03,54.73
22733679-EF25-45B5-800F-3C287AA4EC1D,SAKFRÅGAN,27,HUVUD,2011/12,JuU15,2012-02-23,1963,349,254,37,0,58,t,f,72.78,10.60,16.62,0.00,55.87
B41B044F-C0BE-4AA0-97D8-0489C0D00C47,SAKFRÅGAN,5,HUVUD,2011/12,TU13,2012-05-21,1963,349,174,38,95,42,t,f,49.86,10.89,12.03,27.22,57.02
01091DB7-68E1-11D7-AE6D-00010313F932,SAKFRÅGAN,3,HUVUD,2002/03,SOU12,2003-04-08,1954,349,168,140,2,39,t,f,48.14,40.11,11.17,0.57,55.30
D9C0FCBF-5301-11D7-AEFA-000475530052,SAKFRÅGAN,8,HUVUD,2002/03,LU5,2003-03-04,1954,349,220,45,28,56,t,f,63.04,12.89,16.05,8.02,53.87
BF32B42B-B600-413C-B7C0-18CB27CFB5D9,SAKFRÅGAN,5,HUVUD,2015/16,CU1,2015-12-09,1969,349,214,32,35,68,t,f,61.32,9.17,19.48,10.03,55.01
4761CA68-3042-4772-A492-FED0BE82D168,SAKFRÅGAN,16,HUVUD,2023/24,MJU17,2024-06-12,1975,349,232,63,0,54,t,f,66.48,18.05,15.47,0.00,53.01
4D6F612F-38AD-11D9-AED3-000475504AA4,SAKFRÅGAN,6,HUVUD,2004/05,NU4,2004-11-09,1954,349,167,28,106,48,t,f,47.85,8.02,13.75,30.37,53.30
BF4FA99F-B58D-40FB-80C4-1D2F3CC5926B,SAKFRÅGAN,2,HUVUD,2005/06,NU9,2006-03-14,1954,349,147,56,57,89,t,f,42.12,16.05,25.50,16.33,54.44
7FCF1115-DF9C-49C1-AAF9-A83EFF09FA5B,MOTIVFRÅGAN,1,HUVUD,2014/15,FiU22,2015-04-16,1969,349,159,140,0,50,t,f,45.56,40.11,14.33,0.00,55.30
9B55B28A-6174-4C3C-ADB6-C0DB8CE98975,SAKFRÅGAN,9,HUVUD,2015/16,NU17,2016-04-20,1969,349,285,13,0,51,t,f,81.66,3.72,14.61,0.00,54.44
8B2F3CAC-E918-11D7-88BD-000475501246,SAKFRÅGAN,2,HUVUD,2003/04,JUU4,2003-10-30,1954,349,262,48,4,35,t,f,75.07,13.75,10.03,1.15,55.01
1C5F722D-3BC4-11D9-AEC3-000475504B20,SAKFRÅGAN,19,HUVUD,2004/05,UU2,2004-11-18,1954,349,203,19,76,51,t,f,58.17,5.44,14.61,21.78,53.30
950F0B47-5BA0-11D7-AE7D-000475504C4C,SAKFRÅGAN,11,HUVUD,2002/03,JUU9,2003-01-01,1954,349,177,131,1,40,t,f,50.72,37.54,11.46,0.29,53.87
A75409FB-3F30-47AA-9A7B-C27F2F18C82D,SAKFRÅGAN,3,HUVUD,2012/13,TU17,2013-05-23,1963,349,242,36,20,51,t,f,69.34,10.32,14.61,5.73,56.45
296AEA56-2BE8-410C-B665-D73C94F10CE4,SAKFRÅGAN,13,HUVUD,2023/24,AU8,2024-04-25,1975,349,181,111,0,57,t,f,51.86,31.81,16.33,0.00,52.44
81E36557-4B0D-46D5-90AB-2F9EE9A26F30,SAKFRÅGAN,3,HUVUD,2014/15,MJU5,2015-03-04,1969,349,142,124,45,38,t,f,40.69,35.53,10.89,12.89,55.01
A7917ECC-A01B-476F-8EAD-1A360F9B098E,SAKFRÅGAN,5,HUVUD,2008/09,KU18,2009-03-17,1959,349,134,130,0,85,t,f,38.40,37.25,24.36,0.00,51.86
ED08BAD5-CC22-4FAC-9ED6-C93AA687EBD0,SAKFRÅGAN,6,HUVUD,2009/10,TU18,2010-05-18,1959,349,137,131,0,81,t,f,39.26,37.54,23.21,0.00,53.01
411471D2-2D09-4B71-A767-BAE830FC2930,SAKFRÅGAN,8,HUVUD,2013/14,JuU15,2014-03-05,1963,349,288,18,0,43,t,f,82.52,5.16,12.32,0.00,57.02
12AC424D-DB01-4AAA-96D0-6198FACE8373,SAKFRÅGAN,8,HUVUD,2015/16,SkU29,2016-05-12,1969,349,249,44,14,42,t,f,71.35,12.61,12.03,4.01,54.44
7C97892E-F990-4EED-8D60-3B0636BD5E05,SAKFRÅGAN,1,HUVUD,2005/06,NU18,2006-05-11,1954,349,141,121,9,78,t,f,40.40,34.67,22.35,2.58,53.30
9093C2CF-2994-454E-88DB-6C3E62D4AE95,SAKFRÅGAN,7,HUVUD,2017/18,UU10,2018-06-19,1970,349,178,121,0,50,t,f,51.00,34.67,14.33,0.00,54.15
00ACAD6A-0CE9-4D33-9F5D-E7423A27AADB,SAKFRÅGAN,23,HUVUD,2016/17,SoU10,2017-05-10,1969,349,169,44,92,44,t,f,48.42,12.61,12.61,26.36,53.87
