hjid,against_proposal_number,against_proposal_parties,ballot_id,ballot_summary_item,ballot_url_xml,committee_report,decision_type,header,issue_number,proposal,rm,winner,committee_proposal_list_comm_0
1676508,0,"","",224369,"",JuU14,acklamation,"Samverkan mellan tull och polis, m.m.",15,"Riksdagen avslår motionerna 2004/05:Ju486 yrkande 4, 2004/05:Ju487 yrkandena 6 och 7, 2005/06:Sk372 yrkandena 6 och 7, 2005/06:Sk529 yrkande 2 och 2005/06:Ju410 yrkande 16.
",2005/06,utskottet,1676493
2275709,0,"","",470787,"",TU10,acklamation,Manipulation av vägmätare,19,"<BR/>Riksdagen avslår motion 

2022/23:2140 av Gunilla Svantorp m.fl. (S) yrkande 36.<BR/><BR/>",2022/23,utskottet,2275690
2779511,0,"","",487531,"",UbU5,acklamation,Skrivelse 2010/11:137,1,"Riksdagen lägger skrivelse 2010/11:137 till handlingarna.
",2011/12,utskottet,2779510
1663982,0,"","",220902,"",UbU10,acklamation,Validering,4,"Riksdagen avslår motion 2007/08:Ub217.
",2007/08,utskottet,1663978
2797511,2,"""SD""",7f0d3b43-6308-4dfd-bdc8-154b76600317,495653,http://data.riksdagen.se/votering/7F0D3B43-6308-4DFD-BDC8-154B76600317,JuU15,röstning,Bättre statistiskt underlag och utökad kameraövervakning,2,"<BR/>Riksdagen avslår motion 

2016/17:3701 av Adam Marttinen (SD) yrkandena 1 och 2.<BR/><BR/>",2016/17,utskottet,2797509
2788528,0,"","",491645,"",FiU30,acklamation,Lag om betaltjänster,1,"Riksdagen antar 
1. lag om betaltjänster, i den mån lagförslaget inte omfattas av vad utskottet föreslagit under punkt 2 och med de ändringarna att a) i 4 kap. 10 § 25 ska ""fjärde stycket"" ändras till ""tredje stycket"" b) 8 kap. 21 § andra stycket ska ha följande lydelse. ""Finansinspektionen får förelägga ett utländskt företag som tillhandahåller betaltjänster från en filial eller genom ett ombud enligt 3 kap. 26 § att göra rättelse om dess verksamhet med betaltjänster i Sverige inte bedrivs i enlighet med 4 och 5 kap."" och c) i övergångsbestämmelserna p. 7 första meningen ska hänvisning ske till 5 kap. 18 § i stället för 5 kap. 19 §,
2. lag om ändring i kreditupplysningslagen (1973:1173),
3. lag om ändring i lagen (1992:160) om utländska filialer m.m.,
4. lag om ändring i lagen (2010:000) om ändring i lagen (1992:160) om utländska filialer m.m.,
5. lag om ändring i lagen (1995:1559) om årsredovisning i kredit-institut och värdepappersbolag,
6. lag om ändring i lagen (2010:000) om ändring i lagen (1995:1559) om årsredovisning i kreditinstitut och värdepappersbolag,
7. lag om ändring i lagen (1996:1006) om anmälningsplikt avseende viss finansiell verksamhet,
8. lag om ändring i lagen (2004:297) om bank- och finansierings-rörelse,
9. lag om ändring i distans- och hemförsäljningslagen (2005:59),
10. lag om ändring i lagen (2006:595) om europakooperativ,
11. lag om ändring i lagen (2006:1371) om kapitaltäckning och stora exponeringar,
12. lag om ändring i lagen (2009:62) om åtgärder mot penningtvätt och finansiering av terrorism med den ändringen att i 2 kap. 14 § ska ordet ""anges"" i första raden bytas ut mot ""avses"".
Därmed bifaller riksdagen delvis proposition 2009/10:220 i denna del.
",2009/10,utskottet,2788527
2779813,0,"","",487644,"",UbU17,acklamation,Vissa undervisningsämnen,5,"<BR/>Riksdagen avslår motionerna 

2016/17:220 av Lotta Finstorp (M), 

2016/17:852 av Johan Nissinen (SD), 

2016/17:1079 av Jan Björklund m.fl. (L) yrkande 3, 

2016/17:1381 av Stefan Jakobsson (SD), 

2016/17:1499 av Ulrika Karlsson i Uppsala (M) yrkandena 3 och 4, 

2016/17:2544 av Mikael Jansson och David Lång (båda SD), 

2016/17:2600 av Jeff Ahl (SD) yrkandena 1 och 2, 

2016/17:2664 av Pernilla Stålhammar (MP) och 

2016/17:2983 av Per Lodenius (C).<BR/><BR/>",2016/17,utskottet,2779808
1316429,4,"""m"",""c"",""fp"",""kd""",F7DEF318-C99C-473D-8047-49623CF2FA95,166723,http://data.riksdagen.se/votering/F7DEF318-C99C-473D-8047-49623CF2FA95,SOU23,röstning,Beslag m.m.,7,"Riksdagen avslår motionerna 2003/04:So270 yrkande 2 och 2004/05:So29 yrkande 3.
",2004/05,utskottet,1316422
2134477,0,"","",379229,"",SkU12,acklamation,Driva företag med skyddad identitet,15,"<BR/>Riksdagen avslår motionerna 

2024/25:1350 av Per Söderlund m.fl. (SD) yrkande 8, 

2024/25:2467 av Elisabeth Thand Ringqvist m.fl. (C) yrkande 34 och 

2024/25:3157 av Helena Vilhelmsson m.fl. (C) yrkande 50.<BR/><BR/>",2024/25,utskottet,2134462
2280091,10,"""M""",e2f17d1f-8c7f-45a4-be80-28e2ba678104,471845,http://data.riksdagen.se/votering/E2F17D1F-8C7F-45A4-BE80-28E2BA678104,JuU1,röstning,Polisnärvaro på platser med ökad risk för sexuella ofredanden,18,"<BR/>Riksdagen avslår motion 

2016/17:3388 av Anna Kinberg Batra m.fl. (M) yrkande 27.<BR/><BR/>",2016/17,utskottet,2280073
230054,0,"","",42607,"",SKU24,acklamation,Skatt på fritidsbåtar,12,"Riksdagen avslår motion 2003/04:T467 yrkande 2.
",2003/04,utskottet,230042
2781095,2,"""s"",""v"",""mp""",24F3FCA0-8FF5-4722-BC0A-61350DC84B4A,488157,http://data.riksdagen.se/votering/24F3FCA0-8FF5-4722-BC0A-61350DC84B4A,JuU13,röstning,Uppföljning av den nya lagstiftningen,4,"Riksdagen avslår motionerna 2008/09:Ju10 yrkande 1 och 2008/09:Ju11 yrkande 2.
",2008/09,utskottet,2781091
1807427,0,"","",243148,"",SoU19,acklamation,Hälsovarningar på alkoholprodukter,7,"<BR/>Riksdagen avslår motion 

2022/23:1771 av Jytte Guteland m.fl. (S).<BR/><BR/>",2022/23,utskottet,1807409
2789134,0,"","",491927,"",KrU5,acklamation,Motionsyrkanden som bereds i förenklad form,17,"Riksdagen avslår motionerna 
2013/14:Kr218 av Cecilia Widegren (M) yrkandena 3 och 4, 
2013/14:Kr226 av Anders Ahlgren och Anders Åkesson (båda C), 
2013/14:Kr244 av Jasenko Omanovic och Kristina Nilsson (båda S), 
2013/14:Kr246 av Helena Bouveng (M), 
2013/14:Kr257 av Lars Ohly m.fl. (V) yrkandena 2, 3, 6 och 8, 
2013/14:Kr288 av Hannah Bergstedt och Karin Åström (båda S), 
2013/14:Kr293 av Carin Runeson och Kurt Kvarnström (båda S), 
2013/14:Kr300 av Anita Brodén m.fl. (FP) yrkandena 1, 2 och 4, 
2013/14:Kr336 av Mattias Karlsson och Per Ramhorn (båda SD) och 
2013/14:Kr339 av Gunilla Carlsson i Hisings Backa m.fl. (S) yrkandena 46 och 51.
",2013/14,utskottet,2789117
1659779,0,"","",219565,"",UbU17,acklamation,Friskolornas roll i skolsystemet,15,"Riksdagen avslår motionerna 2008/09:Ub498 och 2008/09:Ub589 yrkande 7.
",2008/09,utskottet,1659764
2787380,0,"","",491093,"",MJU27,acklamation,Samverkan mellan kontrollmyndigheter m.m.,49,"Riksdagen avslår motionerna 2005/06:MJ331 yrkandena 1 och 2 samt 2005/06:MJ348 yrkande 2.
",2005/06,utskottet,2787331
2790973,0,"","",492783,"",KrU1,acklamation,Principerna för finansiering av public service-företagen,9,"Riksdagen avslår motionerna 2006/07:Kr215 och 2006/07:Kr280.
",2006/07,utskottet,2790964
2780673,0,"","",487981,"",JuU8,acklamation,Provtagning vid rattfylleribrotten,2,"Riksdagen avslår motion 2006/07:Ju233.
",2006/07,utskottet,2780671
1315428,0,"","",166610,"",SFU1,acklamation,Rehabilitering av funktionshindrade,37,"Riksdagen avslår motion 2004/05:Sf254.
",2004/05,utskottet,1315391
1813136,0,"","",244460,"",TU11,acklamation,Riksintresseflygplatser,6,"<BR/>Riksdagen avslår motion 

2022/23:1017 av Jimmy Ståhl m.fl. (SD) yrkande 4.<BR/><BR/>",2022/23,utskottet,1813130
2785447,0,"","",490183,"",KrU2,acklamation,Sjömärken,12,"Riksdagen avslår motionerna 2003/04:Kr218 yrkandena 1 och 2 samt 2004/05:Kr257.
",2005/06,utskottet,2785435
1322004,0,"","",168428,"",MJU10,acklamation,Resurser till länsveterinärer,7,"Riksdagen avslår motion 
2004/05:MJ506 av Sven Gunnar Persson m.fl. (kd) yrkande 23.
",2004/05,utskottet,1321997
2774047,1,"""S"",""MP"",""V""",d64cb1ae-c719-4d76-812a-46f4e5af10e1,485176,http://data.riksdagen.se/votering/D64CB1AE-C719-4D76-812A-46F4E5AF10E1,JuU6,röstning,Kriminalisering,2,"Riksdagen ställer sig bakom det utskottet anför om att framförandet av falska polisbilar ska kriminaliseras och tillkännager detta för regeringen.<BR/>Därmed bifaller riksdagen motion 

2016/17:3504 av Beatrice Ask m.fl. (M, C, L, KD) yrkande 1 och 

bifaller delvis motion 

2016/17:3503 av Kent Ekeroth (SD) yrkande 4.<BR/><BR/>",2016/17,utskottet,2774045
2792046,2,"""SD""",332fc28f-f00a-4dd1-a3c4-4e7d0d62c99d,493272,http://data.riksdagen.se/votering/332FC28F-F00A-4DD1-A3C4-4E7D0D62C99D,JuU14,röstning,Straffskalorna för vissa allvarliga våldsbrott,2,"Riksdagen antar regeringens förslag till<br>1. lag om ändring i brottsbalken,<br>2. lag om ändring i lagen (1982:316) med förbud mot könsstympning av kvinnor,<br>3. lag om ändring i lagen (2002:444) om straff för finansiering av särskilt allvarlig brottslighet i vissa fall,<br>4. lag om ändring i lagen (2003:148) om straff för terroristbrott,<br>5. lag om ändring i lagen (2007:979) om åtgärder för att förhindra vissa särskilt allvarliga brott,<br>6. lag om ändring i lagen (2010:299) om straff för offentlig uppmaning, rekrytering och utbildning avseende terroristbrott och annan särskilt allvarlig brottslighet.<BR/>Därmed bifaller riksdagen proposition 2016/17:108 punkterna 1-6 och avslår motionerna 

2016/17:318 av Andreas Norlén och Finn Bengtsson (båda M), 

2016/17:435 av Lars-Arne Staxäng (M) yrkande 2, 

2016/17:519 av Edward Riedl (M), 

2016/17:1579 av Jan Ericson (M), 

2016/17:1769 av Richard Jomshof m.fl. (SD) yrkande 11, 

2016/17:2094 av Maria Stockhaus (M) yrkande 1, 

2016/17:2127 av Edward Riedl (M), 

2016/17:2303 av Kent Ekeroth och Adam Marttinen (båda SD) yrkande 2, 

2016/17:3474 av Roger Haddad m.fl. (L) yrkande 1 och 

2016/17:3623 av Adam Marttinen (SD).<BR/><BR/>",2016/17,utskottet,2792044
1801941,0,"","",241791,"",JuU22,acklamation,Gärningsmannaskapet vid våldtäkt,26,"Riksdagen avslår motion 2005/06:Ju532 yrkande 13.
",2005/06,utskottet,1801915
1674668,0,"","",223725,"",TU5,acklamation,Åkerinäringens betydelse och konkurrensvillkor,24,"Riksdagen avslår motionerna 
2004/05:T216 av Rolf Gunnarsson (m), 
2004/05:T276 av Göran Norlander och Agneta Lundberg (båda s), 
2004/05:T402 av Sylvia Lindgren (s) yrkandena 1 och 2, 
2004/05:T462 av Johnny Gylling m.fl. (kd) yrkandena 1 och 5, 
2005/06:T23 av Sylvia Lindgren (s), 
2005/06:T216 av Rolf Gunnarsson (m), 
2005/06:T579 av Agneta Lundberg och Hans Stenberg (båda s) och 
2005/06:T610 av Johnny Gylling m.fl. (kd) yrkandena 1 och 5.
",2005/06,utskottet,1674644
1317919,0,"","",167171,"",UBU9,acklamation,Uppdrag till Myndigheten för skolutveckling,13,"Riksdagen avslår motion 2004/05:Ub341 yrkande 2.
",2004/05,utskottet,1317906
2082658,9,"""S"",""V"",""MP""","",330822,"",MJU8,acklamation,Prioritering av områden för sanering av mark,10,"Riksdagen tillkännager för regeringen som sin mening vad utskottet anför om hur prioritering av områden ska ske vid sanering av mark.<BR/>Därmed bifaller riksdagen motion 

2014/15:2953 av Caroline Szyber m.fl. (KD, M, C, FP) yrkande 14.<BR/><BR/>",2014/15,utskottet,2082648
1913458,1,"""s""",D9235441-D3E4-45BB-BE36-085BF5D3C7F5,259186,http://data.riksdagen.se/votering/D9235441-D3E4-45BB-BE36-085BF5D3C7F5,MJU14,röstning,Spansk skogssnigel,2,"Riksdagen avslår motionerna 2007/08:MJ293, 2007/08:MJ321 och 2007/08:MJ326.
",2007/08,utskottet,1913456
2775711,0,"","",485876,"",SkU26,acklamation,Ersättning för kostnader i skattemål,16,"<BR/>Riksdagen avslår motion 

2016/17:3353 av Larry Söder m.fl. (KD) yrkande 5.<BR/><BR/>",2016/17,utskottet,2775695
2781465,0,"","",488332,"",JuU7,acklamation,Permission med s.k. fotboja för utvisningsdömda med barn,11,"Riksdagen avslår motion 2006/07:Ju262 yrkande 10.
",2006/07,utskottet,2781454
2081365,0,"","",330327,"",SkU18,acklamation,Skatt på avfall,11,"<BR/>Riksdagen avslår motionerna 

2015/16:900 av Penilla Gunther (KD), 

2015/16:1721 av Gunilla Nordgren och Ulf Berg (båda M) och 

2015/16:1725 av Gunilla Nordgren (M).<BR/><BR/>",2015/16,utskottet,2081354
1800256,11,"""SD""",6BD800BF-1179-456D-AE7E-06D14990B232,241325,http://data.riksdagen.se/votering/6BD800BF-1179-456D-AE7E-06D14990B232,KrU9,röstning,Ideell fornminnesvård,18,"Riksdagen avslår motion 
2012/13:Kr336 av Mattias Karlsson och Per Ramhorn (båda SD).
",2012/13,utskottet,1800238
2774018,0,"","",485165,"",TU9,acklamation,Bilfritt vid stora idrottsarrangemang,21,"Riksdagen avslår motion 2013/14:T497.
",2013/14,utskottet,2773997
1800464,0,"","",241369,"",KrU2,acklamation,Förbättrade villkor för producenter,7,"Riksdagen avslår motion 2012/13:Kr1 yrkande 8.
",2012/13,utskottet,1800457
1307450,0,"","",164643,"",MJU27,acklamation,Invasiva främmande arter,16,"",2013/14,utskottet,1307418
1310055,6,"""m""",508194A7-6F65-48FF-8BA6-752154F2B9D9,165254,http://data.riksdagen.se/votering/508194A7-6F65-48FF-8BA6-752154F2B9D9,LU7,röstning,Upphovsrättsligt skydd,6,"Riksdagen avslår motionerna 2003/04:N248 yrkande 18 och 2004/05:Kr239 yrkande 5.
",2004/05,utskottet,1310049
1315029,0,"","",166482,"",LU16,acklamation,Kreditsäkerhet i byggnad på annans mark,6,"Riksdagen avslår motion 2004/05:L382.
",2004/05,utskottet,1315023
609942,0,"","",69023,"",SOU6,-,Undantag från alkohollagens bestämmelser ,14,"Riksdagen avslår motion 2001/02:So542.
",2001/02,uppgift saknas,609928
2782550,0,"","",488802,"",MJU16,acklamation,Skyddsjakt med tillstånd,1,"Riksdagen avslår motionerna 2005/06:MJ325 yrkande 2, 2005/06:MJ363, 2005/06:MJ459 yrkande 2, 2005/06:MJ476 yrkande 2, 2005/06:MJ529 yrkandena 6 och 7 samt 2005/06:N243 yrkande 15 i denna del.
",2005/06,utskottet,2782549
2781292,0,"","",488259,"",AU10,acklamation,Självstärkande övningar m.m. för flickor och kvinnor,11,"Riksdagen avslår motion 2006/07:A277.
",2006/07,utskottet,2781281
1322042,0,"","",168466,"",MJU10,acklamation,Azofärgämnen,45,"Riksdagen avslår motion 
2003/04:MJ452 av Michael Hagberg (s).
",2004/05,utskottet,1321997
1676797,15,"""m"",""c"",""fp"",""kd""",0701EB9E-1EA2-47AE-86FE-A4AADF6D12F8,224467,http://data.riksdagen.se/votering/0701EB9E-1EA2-47AE-86FE-A4AADF6D12F8,SfU10,röstning,Dublinärenden m.m.,11,"Riksdagen avslår motionerna 
2005/06:Sf251 av Lars Ohly m.fl. (v) yrkande 10, 
2005/06:Sf364 av Lars Leijonborg m.fl. (fp) yrkande 16 och 
2005/06:Sf373 av Sven Brus m.fl. (kd) yrkandena 4 och 6.
",2005/06,reservation 15,1676786
2787401,0,"","",491106,"",MJU24,acklamation,Försäkringslösningar m.m.,5,"Riksdagen avslår motion 2005/06:MJ26 yrkandena 3 och 5.
",2005/06,utskottet,2787396
1912474,19,"""s"",""v"",""mp""",6579BDAB-485F-4EA8-AA09-9D1603A6EC9A,258696,http://data.riksdagen.se/votering/6579BDAB-485F-4EA8-AA09-9D1603A6EC9A,MJU29,röstning,EU:s fiskeavtal med tredjeland,12,"Riksdagen avslår motionerna 2008/09:MJ11 yrkande 21 och 2008/09:MJ13 yrkande 31.
",2008/09,utskottet,1912462
597657,6,"""kd""","",65927,http://data.riksdagen.se/votering/EEA33269-D5B5-4681-B689-085127178BA2,KRU18,röstning,En översyn och utvärdering av Arkitekturåret ,10,"Riksdagen avslår motion 2001/02:Kr417 yrkande 4.
",2001/02,utskottet,597647
1311505,0,"","",165511,"",LU27,acklamation,Ideella organisationer,12,"Riksdagen avslår motion 2004/05:L21 yrkande 5.
",2004/05,utskottet,1311493
230666,0,"","",42774,"",KU2,acklamation,Rösträtt vid val till Europaparlamentet,2,"Riksdagen avslår motion 2002/03:K236.
",2003/04,utskottet,230664
616842,0,"","",70723,"",KU24,acklamation,Den framtida digitalradion,15,"Riksdagen avslår motion 2003/04:Kr359 yrkande 7.
",2003/04,utskottet,616827
2774705,0,"","",485487,"",MJU28,acklamation,Kanalisering av klimatstöd,87,"Riksdagen avslår motion 2008/09:MJ19 yrkande 6.
",2008/09,utskottet,2774618
1309649,0,"","",165064,"",KU1,acklamation,EU 2004-kommitténs upphörande,19,"Riksdagen avslår motion 2005/06:K420 yrkande 5.
",2005/06,utskottet,1309630
608064,5,"""mp""",FAC8874F-936F-4C4F-A6FE-F3912A9BD64F,68392,http://data.riksdagen.se/votering/FAC8874F-936F-4C4F-A6FE-F3912A9BD64F,KU14,röstning,Djur i pornografiska sammanhang,9,"Riksdagen avslår motion 2003/04:K296.
",2003/04,utskottet,608035
2794332,0,"","",494262,"",SfU1,acklamation,Sjuklön,6,"Riksdagen avslår motionerna 2007/08:Fi269 yrkandena 35 och 36 samt 2007/08:Fi277 yrkande 55.
",2007/08,utskottet,2794326
1652832,4,"""S""",70F9396B-7715-4AA7-B21D-FF51BE778EDB,217599,http://data.riksdagen.se/votering/70F9396B-7715-4AA7-B21D-FF51BE778EDB,FiU25,röstning,Etiskt förhållningssätt i staten,5,"Riksdagen avslår motion 2012/13:Fi286 yrkande 1.
",2012/13,utskottet,1652827
1795415,9,"""M""",15212de5-2264-4372-969f-36851db8ee1d,240284,http://data.riksdagen.se/votering/15212DE5-2264-4372-969F-36851DB8EE1D,KU27,röstning,Opinionsbildande verksamhet,3,"<BR/>Riksdagen avslår motionerna 

2021/22:1816 av Lars Püss m.fl. (M) yrkande 1, 

2021/22:1875 av Sten Bergheden (M), 

2021/22:3565 av Lars Beckman och Jan Ericson (båda M) och 

2021/22:3791 av Karin Enström m.fl. (M) yrkandena 12 och 13.<BR/><BR/>",2021/22,utskottet,1795412
2079295,0,"","",329690,"",UU5,acklamation,Bistånd till kvinnor och flickor samt för SRHR,4,"<BR/>Riksdagen avslår motion 

2016/17:33 av Hans Linde m.fl. (V) yrkandena 6-8.<BR/><BR/>",2016/17,utskottet,2079291
2794092,0,"","",494167,"",KU7,acklamation,Lag om ändring i offentlighets- och sekretesslagen,2,Riksdagen antar utskottets förslag i bilaga 1 till lag om ändring i offentlighets- och sekretesslagen (2009:400).<BR/><BR/><BR/>,2017/18,utskottet,2794087
2135621,0,"","",379671,"",KU13,acklamation,Väljare med synnedsättning eller annan funktionsnedsättning,14,"<BR/>Riksdagen avslår motionerna 

2024/25:687 av Eric Palmqvist (SD) och 

2024/25:1377 av Matheus Enholm m.fl. (SD) yrkande 8.<BR/><BR/>",2024/25,utskottet,2135607
242287,0,"","",45217,"",SFU10,acklamation,Asylprocessen,36,"Riksdagen avslår motionerna 2004/05:Sf11, 2004/05:Sf12 yrkande 1 och 2004/05:Sf15 yrkandena 3 och 7.
",2004/05,utskottet,242251
1809458,0,"","",243534,"",SoU6,acklamation,Föräldrautbildning,23,"<BR/>Riksdagen avslår motionerna 

2015/16:1472 av Robert Hannah och Lars Tysklind (båda FP) yrkandena 3 och 4, 

2015/16:2482 av Cecilia Widegren m.fl. (M) yrkande 27, 

2015/16:2568 av Emma Henriksson m.fl. (KD) yrkandena 77 och 82, 

2015/16:2569 av Andreas Carlson m.fl. (KD) yrkandena 28-30 och 

2015/16:3095 av Paula Bieler m.fl. (SD) yrkande 4.<BR/><BR/>",2015/16,utskottet,1809435
1321528,0,"","",168237,"",SKU28,acklamation,Uppbörd av avgift till trossamfund och ideella föreningar,6,"Riksdagen avslår motion 2004/05:Sk334.
",2004/05,utskottet,1321522
2778456,0,"","",487052,"",AU13,acklamation,Vissa andra frågor om arbetsförmedling,21,"Riksdagen avslår motionerna 
2006/07:N298 av Ann-Kristine Johansson m.fl. (s) yrkande 2 och 
2006/07:A246 av Inger Jarl Beck m.fl. (s).
",2006/07,utskottet,2778435
242291,0,"","",45221,"",SFU10,acklamation,Organiserad verksamhet,40,"Riksdagen avslår motionerna 2003/04:Sf357 yrkande 2 och 2004/05:Sf361 yrkande 6.
",2004/05,utskottet,242251
2792659,0,"","",493568,"",JuU18,acklamation,Digitalt våld som en del av våldsmönstret,5,"<BR/>Riksdagen avslår motion 

2023/24:2377 av Inga-Lill Sjöblom m.fl. (S).<BR/><BR/>",2023/24,utskottet,2792654
2134949,0,"","",379399,"",KU23,acklamation,Myndighetsinformation till ungdomar,13,"<BR/>Riksdagen avslår motion 

2024/25:365 av Alexandra Völker och Azadeh Rojhan (båda S) yrkande 3.<BR/><BR/>",2024/25,utskottet,2134936
619542,21,"""kd""",6AFFB677-1317-4085-AEC3-4F59B457D2A4,71588,http://data.riksdagen.se/votering/6AFFB677-1317-4085-AEC3-4F59B457D2A4,BoU6,röstning,Centralt bostadsrättsregister,12,"Riksdagen avslår motionerna 2005/06:Bo286 och 2005/06:Bo318.
",2005/06,utskottet,619530
613035,0,"","",69895,"",JUU7,acklamation,Kronvittnen,9,"Riksdagen avslår motion 2002/03:Ju364 yrkande 10.
",2002/03,utskottet,613026
1912996,0,"","",258970,"",FöU9,acklamation,Den regionala krishanteringsförmågan,3,"Riksdagen avslår motion 2002/03:Fö253 yrkande 5.
",2005/06,utskottet,1912993
2778113,0,"","",486909,"",SoU4,acklamation,Regeringens lagförslag,1,"Riksdagen antar regeringens förslag till <br />1. biobankslag,<br />2. lag om ändring i lagen (2003:460) om etikprövning av forskning som avser människor,<br />3. lag om ändring i lagen (2006:351) om genetisk integritet m.m.,<br />4. lag om ändring i offentlighets- och sekretesslagen (2009:400),<br />5. lag om ändring i patientlagen (2014:821).<BR/>Därmed bifaller riksdagen proposition 2021/22:257 punkterna 1-5.<BR/><BR/>",2022/23,utskottet,2778112
238272,2,"""kd""",C34445AF-16C3-11D9-AE91-000475504B20,44526,http://data.riksdagen.se/votering/C34445AF-16C3-11D9-AE91-000475504B20,UU3,röstning,Nordbors gränslösa rättigheter och gränsregionalt samarbete,3,"Riksdagen avslår motionerna 2003/04:U229 yrkandena 2 och 3, 2003/04:U307, 2003/04:U342 yrkandena 3 och 4, 2004/05:U245 och 2004/05:U312 yrkande 6.
",2004/05,utskottet,238269
2775515,0,"","",485802,"",MJU20,acklamation,Energiforskning,20,"Riksdagen avslår motion 
2013/14:MJ23 av Josef Fransson och Mikael Jansson (båda SD) yrkande 6.
",2013/14,utskottet,2775495
2785184,0,"","",490055,"",CU14,acklamation,Icke-kommersiella frizoner,6,"Riksdagen avslår motion 2011/12:C405.
",2011/12,utskottet,2785178
2798631,1,"""v""",9BF5435E-FD2D-43A3-80E5-9410413E2905,496173,http://data.riksdagen.se/votering/9BF5435E-FD2D-43A3-80E5-9410413E2905,FiU27,röstning,Allmänna synpunkter på penningpolitiken 1995-2005,1,"Riksdagen avslår motionerna 2006/07:Fi1 yrkandena 1 och 2 samt 2006/07:Fi2.
",2006/07,utskottet,2798630
622121,0,"","",72675,"",SFU11,acklamation,Verkställighet,1,"Riksdagen bifaller proposition 2003/04:50 i denna del och avslår motion 2003/04:Sf29 yrkandena 1 och 2.
",2003/04,utskottet,622120
2074806,3,"""SD""",1ed11062-417a-48f9-bdc2-2b19a6dbfa10,327981,http://data.riksdagen.se/votering/1ED11062-417A-48F9-BDC2-2B19A6DBFA10,JuU9,röstning,Straffrabatten för unga lagöverträdare,8,"<BR/>Därmed avslår riksdagen motionerna 

2014/15:2524 av Kent Ekeroth m.fl. (SD) yrkandena 4 och 5 samt 

2014/15:6 av Robert Stenkvist (SD).<BR/><BR/>",2014/15,utskottet,2074798
2081722,0,"","",330428,"",UbU17,acklamation,Forskning inom särskilda områden,15,"<BR/>Riksdagen avslår motionerna 

2014/15:108 av Edward Riedl (M), 

2014/15:152 av Edward Riedl (M), 

2014/15:656 av Johan Pehrson (FP) yrkande 2, 

2014/15:919 av Christer Engelhardt och Lena Hallengren (S) yrkande 3, 

2014/15:978 av Ulrika Carlsson i Skövde (C) yrkande 3, 

2014/15:1643 av Penilla Gunther (KD), 

2014/15:1975 av Jan Lindholm (MP) yrkande 6, 

2014/15:1998 av Hans Wallmark (M), 

2014/15:2384 av Saila Quicklund (M), 

2014/15:2423 av Finn Bengtsson och Hans Wallmark (M), 

2014/15:2450 av Finn Bengtsson och Amir Adan (M), 

2014/15:2453 av Anders W Jonsson (C) yrkande 2, 

2014/15:2575 av Ulf Kristersson m.fl. (M, C, FP, KD) yrkande 12, 

2014/15:2793 av Krister Örnfjäder och Lena Hallengren (S) yrkande 3, 

2014/15:2886 av Finn Bengtsson och Barbro Westerholm (M, FP), 

2014/15:2901 av Aron Emilsson m.fl. (SD), 

2014/15:2925 av Paula Bieler m.fl. (SD) yrkande 6, 

2014/15:2944 av Richard Jomshof m.fl. (SD) yrkande 6, 

2015/16:152 av Edward Riedl (M), 

2015/16:846 av Lawen Redar (S), 

2015/16:2223 av Lise Nordin och Stina Bergström (båda MP) yrkandena 1 och 2, 

2015/16:2375 av Solveig Zander (C), 

2015/16:2479 av Cecilia Widegren m.fl. (M) yrkande 2, 

2015/16:2545 av Aron Emilsson m.fl. (SD) yrkande 1, 

2015/16:2568 av Emma Henriksson m.fl. (KD) yrkande 52, 

2015/16:2899 av Paula Bieler m.fl. (SD) yrkande 7, 

2015/16:3099 av Carina Herrstedt m.fl. (SD) yrkande 6 och 

2015/16:3207 av Penilla Gunther m.fl. (KD) yrkande 27.<BR/><BR/>",2015/16,utskottet,2081707
2792891,0,"","",493665,"",NU24,acklamation,Genomförande av elförsörjningsdirektivet,1,"Riksdagen antar regeringens förslag till lag om ändring i ellagen (1997:857).
Därmed bifaller riksdagen proposition 2008/09:142.
",2008/09,utskottet,2792890
2282041,0,"","",472437,"",UU15,acklamation,Förenta nationerna,1,"För mer information om förslagspunkten, se ärendets PDF-dokument",2014/15,utskottet,2282040
621574,0,"","",72504,"",KU23,acklamation,Språkhjälp vid myndighetskontakt,7,"Riksdagen avslår motion 2002/03:K299.
",2002/03,utskottet,621567
2778765,0,"","",487162,"",SfU1,acklamation,Sjukpenning m.m. vid studier,13,"Riksdagen avslår motionerna 2008/09:Sf252, 2008/09:Sf254 och 2008/09:Kr246 yrkande 3.
",2008/09,utskottet,2778752
73436,0,"","",33169,"",UBU1,acklamation,Utbildning av musikinstrumenttekniker ,24,"Riksdagen avslår motion 2001/02:Ub362. 
",2001/02,utskottet,73412
2796337,0,"","",495133,"",MJU12,acklamation,Miljösanktionsavgifter,3,"<BR/>Riksdagen avslår motion 

2017/18:2334 av Jens Holm m.fl. (V) yrkande 12.<BR/><BR/>",2017/18,utskottet,2796329
