embedded_id_party,embedded_id_id,embedded_id_issue,embedded_id_hangar_id,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
S,GQ01UBU18,6,2228817,UBU18,2002/03,Etikprövning av forskning,Organisationen av etikprövningen,0,UBU,2003-05-15,2006-03-15,2D7B261B-81DE-11D7-AED7-0004755048D1,röstning,"""fp""",11,utskottet,SAKFRÅGAN,HUVUD,UBU18,2003-05-15,1954,349,252,40,0,57,t,f,72.21,11.46,16.33,0.00,55.01,1954,144,123,0,0,21,t,f,85.42,0.00,14.58,0.00,53.47
KD,GV01SoU11,28,2260502,SoU11,2007/08,En förnyad folkhälsopolitik,Sex- och samlevnadsundervisning i skolan,0,SOU,2008-05-28,2008-05-28,C1F04096-8E7A-435A-A24F-DA2DA6A5C163,röstning,"""s"",""v"",""mp""",30,utskottet,SAKFRÅGAN,HUVUD,SoU11,2008-05-28,1958,349,138,131,0,80,t,f,39.54,37.54,22.92,0.00,53.30,1952,24,18,0,0,6,t,f,75.00,0.00,25.00,0.00,54.17
L,GS01JUU17,8,2295153,JUU17,2004/05,Kriminalvårdsfrågor,Övervakning i samband med permissioner,0,JUU,2005-02-17,2006-03-15,5C1D9F60-DF6A-49D8-AFD2-A193632D1981,röstning,"""v""",10,utskottet,SAKFRÅGAN,HUVUD,JUU17,2005-02-17,1954,349,116,40,118,75,t,f,33.24,11.46,21.49,33.81,54.15,1956,48,0,0,37,11,f,t,0.00,0.00,22.92,77.08,52.08
L,GY01JuU9,1,2377774,JuU9,2010/11,Processrättsliga frågor,Översyn av rättshjälpslagen m.m.,0,JUU,2011-02-09,2011-02-09,B966D80D-275D-4295-89EB-DBEC8D3DD230,röstning,"""S"",""MP"",""V""",1,utskottet,SAKFRÅGAN,HUVUD,JuU9,2011-02-09,1963,349,168,133,0,48,t,f,48.14,38.11,13.75,0.00,54.15,1959,24,21,0,0,3,t,f,87.50,0.00,12.50,0.00,54.17
KD,GT01LU21,2,2283961,LU21,2005/06,Fastighetsmäklare,Besiktningsmän,0,LU,2006-03-23,2006-03-27,041A8136-16C5-49E0-A4F7-0CE440D830B4,röstning,"""m"",""c"",""fp"",""kd""",2,utskottet,SAKFRÅGAN,HUVUD,LU21,2006-03-23,1954,349,159,126,0,64,t,f,45.56,36.10,18.34,0.00,54.44,1951,33,0,25,0,8,f,f,0.00,75.76,24.24,0.00,69.70
M,GY01JuU7,32,2377772,JuU7,2010/11,Polisfrågor,Tullverkets befogenheter att leta efter stöldgods,0,JUU,2011-05-31,2011-05-31,6A7D1A03-9964-420F-84D9-78C112509A83,röstning,"""SD""",14,utskottet,SAKFRÅGAN,HUVUD,JuU7,2011-05-31,1963,349,287,20,0,42,t,f,82.23,5.73,12.03,0.00,54.44,1965,107,100,0,0,7,t,f,93.46,0.00,6.54,0.00,54.21
MP,GX01FiU11,2,2225628,FiU11,2009/10,Hösttilläggsbudget för 2009,Bemyndigande för anskaffning av splitterskyddade hjulgående fordon,0,FIU,2009-11-11,2009-11-11,B0320F82-D9B0-42A7-B289-6276FE4D0E70,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,FiU11,2009-11-11,1958,349,151,139,1,58,t,f,43.27,39.83,16.62,0.29,54.15,1964,19,0,14,0,5,f,f,0.00,73.68,26.32,0.00,57.89
L,GR01SOU2,8,2284214,SOU2,2003/04,Uppföljning  av den nationella handlingsplanen förhandikappolitiken,Våld och övergrepp mot funktionshindrade,0,SOU,2003-11-13,2006-03-15,16E7CCC4-D7EE-4790-8301-0DAE1BDBE65C,röstning,"""c"",""v"",""mp""",9,utskottet,SAKFRÅGAN,HUVUD,SOU2,2003-11-13,1954,349,180,61,66,42,t,f,51.58,17.48,12.03,18.91,54.73,1956,48,1,0,39,8,t,f,2.08,0.00,16.67,81.25,50.00
KD,GX01MJU16,6,2304223,MJU16,2009/10,"Kretslopp, återvinning m.m.",Miljöeffekter av läkemedel m.m.,0,MJU,2010-03-24,2010-03-24,29B49B2B-7D8D-407C-99D9-FCBFF5B2DA47,röstning,"""mp""",6,utskottet,SAKFRÅGAN,HUVUD,MJU16,2010-03-24,1959,349,162,17,119,51,t,f,46.42,4.87,14.61,34.10,53.01,1955,24,24,0,0,0,t,f,100.00,0.00,0.00,0.00,54.17
L,GZ01FiU1,2,2720011,FiU1,2011/12,Utgiftsramar och beräkning av statsinkomsterna ,Beslut om utgiftsramar och beräkning av inkomsterna på statens budget för 2012,0,FIU,2011-11-15,2011-11-16,7F513648-EAC7-4709-AAFE-5ACF4D45BB84,röstning,"""S""",5,utskottet,SAKFRÅGAN,HUVUD,FiU1,2011-11-15,1963,349,149,94,55,51,t,f,42.69,26.93,14.61,15.76,54.73,1959,24,17,0,0,7,t,f,70.83,0.00,29.17,0.00,54.17
