person_id,first_name,last_name,party,role_code,status,assignment_type,org_code,from_date,to_date,is_current_role,career_level,career_level_name,career_score,career_step,total_career_steps,career_start_date,career_end_date,career_start_year,career_end_year,career_span_years,years_in_role,years_since_prev_role,total_years_at_level,peak_career_level,peak_career_score,is_peak_role,years_at_peak,prev_career_level,next_career_level,progression_direction,level_change,score_change,advancement_velocity,promotions_count,demotions_count,avg_career_score,career_score_volatility,avg_years_per_promotion,career_pattern,downward_spiral_flag,exit_risk_score,overall_career_rank,career_percentile,career_decile,behavioral_win_rate,behavioral_rebel_rate,behavioral_absence_rate,behavioral_assessment,attendance_status,effectiveness_status,discipline_status,risk_level,risk_score,total_violations,absenteeism_violations,effectiveness_violations,discipline_violations,influence_classification,broker_score,strong_connections,predictive_success_score,comprehensive_risk_level,leadership_potential_score,high_retention_risk_flag,career_health_score,career_stage,is_typical_career_path,is_atypical_career_path
0781520322912,Jörgen,Hellman,S,Suppleant,"",uppdrag,MJU,2020-03-18,2022-06-10,f,2,L02_SUBSTITUTE_MP,50,21,26,2006-10-02,2022-06-10,2006,2022,15,2,0,40,6,600,f,0,2,2,LATERAL,0,0,,6,7,158.4615384615384615,183.694820237938,2.5,DECLINING,f,60,2756,0.1313873673992928,2,,,,,,,,,,,,,,,,,37.5,HIGH_RISK,20,f,25.0,SENIOR_CAREER,f,t
0185498861416,Lena,Sommestad,S,Riksdagsledamot,Tjänstgörande,kammaruppdrag,kam,2012-08-01,2014-02-28,f,4,L04_ACTIVE_MP,400,4,5,2002-09-30,2014-10-14,2002,2014,12,1,1,1,9,900,f,0,3,2,PROMOTION,1,100,1.00,2,1,340.0000000000000000,312.089730686545,6.0,STEADY_PROGRESS,f,10,797,0.003050682936975664,1,,,,,,,,,,,,,,,,,53.5,LOW_RISK,60,f,65.0,SENIOR_CAREER,t,f
0316505710324,Janine,Alm Ericson,MP,Suppleant,"",uppdrag,CU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,21,33,2014-09-29,2026-10-27,2014,2026,12,2,0,54,6,600,f,0,2,2,LATERAL,0,0,,5,6,153.6363636363636364,151.633892865562,2.4,DECLINING,f,60,3066,0.1313873673992928,3,30.75,0.00,0.93,STANDARD_BEHAVIOR,EXCELLENT_ATTENDANCE,LOW_EFFECTIVENESS,PARTY_LOYAL,MEDIUM,29.84,7,4,1,1,LIMITED_INFLUENCE,STRONG_BROKER,24,39.7,HIGH_RISK,20,f,25.0,SENIOR_CAREER,f,t
0977592683711,Magnus,Jacobsson,KD,Suppleant,"",uppdrag,KrU,2020-03-18,2026-09-28,f,2,L02_SUBSTITUTE_MP,50,11,18,2018-10-02,2026-09-28,2018,2026,7,6,0,17,3,300,f,0,2,2,LATERAL,0,0,,1,2,75.5555555555555556,79.8764478027174598,7.0,DECLINING,f,60,13098,0.8860847257852041,10,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,MEDIUM,31.99,8,5,1,1,INFLUENTIAL,STRONG_BROKER,208,55.9,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
0480085646428,Erik,Andersson,M,Suppleant,"",uppdrag,AU,2016-01-22,2018-09-24,f,2,L02_SUBSTITUTE_MP,50,4,6,2014-09-29,2018-11-11,2014,2018,4,2,0,8,4,400,f,0,2,2,LATERAL,0,0,,0,1,108.3333333333333333,130.437298687488,,DECLINING,f,60,11099,0.39215142480759896,8,,,,,,,,,,,,,,,,,37.5,HIGH_RISK,20,f,25.0,MID_CAREER,f,t
0598792324417,Ulrika,Jörgensen,M,Suppleant,"",uppdrag,SkU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,5,17,2018-09-24,2022-09-26,2018,2022,4,2,0,16,4,400,f,0,2,2,LATERAL,0,0,,0,1,70.5882352941176471,82.3529411764705882,,DECLINING,f,60,11099,0.39215142480759896,8,,,,,,,,LOW,10.00,0,0,0,0,MINIMAL_INFLUENCE,NON_BROKER,0,49.5,HIGH_RISK,20,f,25.0,MID_CAREER,f,t
0125036219125,Nina,Larsson,L,Suppleant,"",uppdrag,AU,2006-10-24,2014-09-29,f,2,L02_SUBSTITUTE_MP,50,5,12,2006-10-02,2026-10-02,2006,2026,20,7,0,15,9,900,f,0,2,3,LATERAL,0,0,,0,1,270.8333333333333333,311.888290186656,,DECLINING,f,60,308,0.003050682936975664,1,,,,,,,,,,,,,,,,,39.5,HIGH_RISK,20,f,30.0,VETERAN_CAREER,f,t
0868286862422,Fredrick,Federley,C,Ledamot,"",uppdrag,EUN,2010-10-12,2014-06-15,f,3,L03_COMMITTEE_MEMBER,300,5,8,2006-10-02,2021-02-04,2006,2021,14,3,3,11,4,400,f,0,2,2,PROMOTION,1,250,0.33,1,2,262.5000000000000000,129.301005409858,14.0,DECLINING,f,60,6613,0.39215142480759896,5,,,,,,,,,,,,,,,,,42.1,HIGH_RISK,40,f,36.6,SENIOR_CAREER,f,t
0785143384002,Rolf,Gunnarsson,M,Deputerad,"",uppdrag,UFöU,2002-12-03,2010-03-03,f,1,L01_OTHER_ENTRY,10,2,9,2002-10-08,2010-10-04,2002,2010,7,7,0,7,6,600,f,0,2,3,DEMOTION,-1,-40,,0,1,262.2222222222222222,218.264761637878,,DECLINING,f,60,4196,0.1313873673992928,3,,,,,,,,,,,,,,,,,35.5,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
0248883870202,Göran,Montan,M,Suppleant,"",uppdrag,SkU,2006-10-10,2010-10-04,f,2,L02_SUBSTITUTE_MP,50,3,5,2006-10-02,2014-09-29,2006,2014,7,3,0,6,4,400,f,0,2,3,LATERAL,0,0,,0,1,220.0000000000000000,143.527000944073,,DECLINING,f,60,10002,0.39215142480759896,8,,,,,,,,,,,,,,,,,37.5,HIGH_RISK,20,f,25.0,MID_CAREER,f,t
