embedded_id_page,embedded_id_page_mode,embedded_id_created_date,hits,rank_percentage,rank
governmentbody,PAGEVISITHISTORY,2025-02-07 00:00:00,1,0.44,23
main,OVERVIEW,2025-11-20 00:00:00,2,0.16666666666666666,2
adminagentoperation,"",2025-02-22 00:00:00,3,0.16666666666666666,2
userhome,OVERVIEW,2025-11-20 00:00:00,1,0.6666666666666666,5
AdminDataSummaryView,!admindatasummary/AUTHORS,2025-02-07 00:00:00,1,0.44,23
AdminMonitoringView,!adminmonitoring,2025-02-07 00:00:00,2,0.28,15
parliamentranking,Overview,2025-02-07 00:00:00,2,0.28,15
dashboard,Overview,2025-02-07 00:00:00,1,0.44,23
document,DOCUMENTDETAILS,2025-02-07 00:00:00,1,0.44,23
adminmonitoring,"",2025-01-31 00:00:00,24,0.1,2
document,DOCUMENTACTIVITY,2025-02-07 00:00:00,1,0.44,23
documents,Overview,2025-02-07 00:00:00,1,0.44,23
main,Overview,2025-02-12 00:00:00,8,0,1
countryranking,Overview,2025-02-07 00:00:00,2,0.28,15
document,PAGEVISITHISTORY,2025-02-07 00:00:00,1,0.44,23
ministryranking,CHARTS,2025-04-19 00:00:00,1,0,1
documents,[1],2025-01-31 00:00:00,1,0.9,10
search,Overview,2025-02-07 00:00:00,1,0.44,23
main,Overview,2025-01-31 00:00:00,28,0,1
governmentbody,EXPENDITURE,2025-02-07 00:00:00,1,0.44,23
main,Overview,2025-11-20 00:00:00,2,0.16666666666666666,2
partyranking,CHARTS,2025-02-07 00:00:00,5,0.08,5
governmentbody,OVERVIEW,2025-02-07 00:00:00,1,0.44,23
main,OVERVIEW,2025-02-22 00:00:00,2,0.3333333333333333,3
document,OVERVIEW,2025-02-07 00:00:00,1,0.44,23
politicianranking,Overview,2025-02-07 00:00:00,3,0.16,9
adminapplicationconfiguration,"",2025-01-31 00:00:00,3,0.6,7
main,Overview,2025-04-19 00:00:00,1,0,1
AgentOperationView,!adminagentoperation,2025-02-07 00:00:00,1,0.44,23
document,OVERVIEW,2025-11-20 00:00:00,1,0.6666666666666666,5
adminuseraccount,"",2025-02-22 00:00:00,2,0.3333333333333333,3
adminmonitoring,"",2025-02-07 00:00:00,1,0.44,23
documents,Overview,2025-01-31 00:00:00,3,0.6,7
adminapplicationevents,"",2025-02-07 00:00:00,2,0.28,15
partyranking,CHARTS,2025-01-31 00:00:00,2,0.8,9
userhome,Overview,2025-01-31 00:00:00,6,0.3,4
committeeranking,Overview,2025-02-07 00:00:00,3,0.16,9
parliamentranking,RULES,2025-02-07 00:00:00,2,0.28,15
documents,[1212],2025-01-31 00:00:00,5,0.4,5
ministryranking,CHARTS,2025-02-07 00:00:00,7,0.04,3
parliamentranking,CHARTS,2025-02-07 00:00:00,5,0.08,5
userhome,OVERVIEW,2025-02-22 00:00:00,2,0.3333333333333333,3
adminuseraccount,"",2025-02-07 00:00:00,2,0.28,15
adminportal,"",2025-02-07 00:00:00,1,0.44,23
main,Overview,2025-02-09 00:00:00,8,0,1
adminapplicationsession,"",2025-02-22 00:00:00,1,0.8333333333333334,6
adminagentoperation,"",2025-11-20 00:00:00,1,0.6666666666666666,5
governmentbody,INCOME,2025-02-07 00:00:00,1,0.44,23
AdminAgencyView,!adminagency,2025-02-07 00:00:00,1,0.44,23
adminagentoperation,"",2025-01-31 00:00:00,7,0.2,3
