election_cycle_id,cycle_year,calendar_year,semester,party,performance_score,active_members,party_violations,party_win_rate,party_participation_rate,documents_last_year,party_avg_rebel_rate,committees_active,rank_by_performance,rank_by_discipline,percent_rank_performance,ntile_party_tier,prev_cycle_performance,prev_cycle_documents,stddev_performance,cycle_party_count,change_performance_pct,change_documents_pct,performance_trend,discipline_score,competitiveness_index
1998-2002,3,2000,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,1,2026,annual,M,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2002-2006,2,2003,annual,SJP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,3,2008,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,2,1995,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,2,2015,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,3,1996,annual,SD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,3,2016,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,1,2010,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
1994-1998,3,1996,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
