userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time
10,16385,t,1636457600439863437,CREATE EXTENSION IF NOT EXISTS pgaudit WITH SCHEMA public,0,0,0,0,0,0,1,0.070823,0.070823,0.070823,0.070823,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,f,6275370010388792342,current_level >= $10,2,0.011491999999999999,0.004228,0.007264,0.005745999999999999,0.001518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,t,5311315918108617841,COMMENT ON COLUMN public.qrtz_fired_triggers.job_group IS 'DATA.Sensitive GDPR.NA',0,0,0,0,0,0,1,0.078657,0.078657,0.078657,0.078657,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,162,0,0,0,0,0,0,0,0
10,16385,t,4105816706440396516,COMMENT ON COLUMN public.committee_document_data.title IS 'DATA.Public GDPR.NA',0,0,0,0,0,0,1,0.081803,0.081803,0.081803,0.081803,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,159,0,0,0,0,0,0,0,0
10,16385,f,-5027971706530108090,"SELECT fk.""indicator__indicators_elemen_0"" FROM ONLY ""public"".""indicator_element"" fk LEFT OUTER JOIN ONLY ""public"".""indicators_element"" pk ON ( pk.""hjid"" OPERATOR(pg_catalog.=) fk.""indicator__indicators_elemen_0"") WHERE pk.""hjid"" IS NULL AND (fk.""indicator__indicators_elemen_0"" IS NOT NULL)",1,0.127067,0.127067,0.127067,0.127067,0,1,0.002665,0.002665,0.002665,0.002665,0,0,36,2,0,0,0,0,0,0,0,0,0.023644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,t,-8308251573614302078,COMMENT ON COLUMN public.committee_proposal_data.hjid IS 'DATA.Public GDPR.NA',0,0,0,0,0,0,1,0.15552,0.15552,0.15552,0.15552,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,159,0,0,0,0,0,0,0,0
10,16385,t,342470102927973417,CREATE INDEX idx_party_summary_party_won ON public.view_riksdagen_vote_data_ballot_party_summary USING btree (party_won),0,0,0,0,0,0,1,1.327579,1.327579,1.327579,1.327579,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1694,0,0,0,0,0,0,0,0
10,16385,t,2361379585449081024,CREATE INDEX idx_politician_summary_vote_date ON public.view_riksdagen_vote_data_ballot_politician_summary USING btree (vote_date),0,0,0,0,0,0,1,1.230999,1.230999,1.230999,1.230999,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1702,0,0,0,0,0,0,0,0
10,16385,t,444060922945966554,COMMENT ON COLUMN public.person_detail_element.hjid IS 'DATA.Public GDPR.Personal',0,0,0,0,0,0,1,0.092582,0.092582,0.092582,0.092582,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,165,0,0,0,0,0,0,0,0
10,16385,t,7175907052494290830,COMMENT ON COLUMN public.document_attachment.document_attachment_list_doc_0 IS 'DATA.Public GDPR.NA',0,0,0,0,0,0,1,0.099997,0.099997,0.099997,0.099997,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,159,0,0,0,0,0,0,0,0
16384,16385,f,-1080921939532835838,COPY (SELECT * FROM document_proposal_container ORDER BY random() LIMIT $1) TO 'table_document_proposal_container_sample.csv' WITH CSV HEADER,2,0.31158199999999997,0.050334,0.261248,0.15579099999999999,0.105457,1,0.031839,0.031839,0.031839,0.031839,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
