property_name,property_value,commit_fk
key,ok,6382
key,ok,3657
key,ok,3574
key,ok,2812
key,ok,1057
key,ok,5835
key,ok,2932
key,ok,2526
key,ok,5519
key,ok,3664
key,ok,5660
key,ok,4497
key,ok,6000
key,ok,1485
key,ok,2332
key,ok,1196
key,ok,1143
key,ok,4171
key,ok,2775
key,ok,2653
key,ok,6078
key,ok,1123
key,ok,1854
key,ok,1512
key,ok,643
key,ok,754
key,ok,2634
key,ok,5994
key,ok,5421
key,ok,3722
key,ok,2727
key,ok,3925
key,ok,2139
key,ok,4020
key,ok,5836
key,ok,3972
key,ok,4952
key,ok,1951
key,ok,4236
key,ok,812
key,ok,6115
key,ok,6411
key,ok,277
key,ok,552
key,ok,1323
key,ok,5679
key,ok,299
key,ok,1149
key,ok,6384
key,ok,3349
