hjid,language_name,model_object_id,model_object_version,created_date,last_modified_date,language_enabled,auto_translation_enabled,language_code,translation_status
98,Haitian Creole,,0,2026-01-27 01:00:10.453,,f,,ht,
145,Odia,,0,2026-01-27 01:00:10.456,,f,,or,
89,Irish,,0,2026-01-27 01:00:10.452,,f,,ga,
70,Czech,,0,2026-01-27 01:00:10.45,,f,,cs,
103,Interlingue,,0,2026-01-27 01:00:10.453,,f,,ie,
133,Marathi,,0,2026-01-27 01:00:10.456,,f,,mr,
56,Akan,,0,2026-01-27 01:00:10.449,,f,,ak,
93,Manx,,0,2026-01-27 01:00:10.452,,f,,gv,
177,Tigrinya,,0,2026-01-27 01:00:10.459,,f,,ti,
102,Indonesian,,0,2026-01-27 01:00:10.453,,f,,id,
157,Sanskrit,,0,2026-01-27 01:00:10.457,,f,,sa,
189,Xhosa,,0,2026-01-27 01:00:10.46,,f,,xh,
119,Cornish,,0,2026-01-27 01:00:10.454,,f,,kw,
94,Hausa,,0,2026-01-27 01:00:10.453,,f,,ha,
191,Yoruba,,0,2026-01-27 01:00:10.46,,f,,yo,
130,Macedonian,,0,2026-01-27 01:00:10.455,,f,,mk,
115,Kannada,,0,2026-01-27 01:00:10.454,,f,,kn,
104,Igbo,,0,2026-01-27 01:00:10.453,,f,,ig,
91,Galician,,0,2026-01-27 01:00:10.452,,f,,gl,
57,Amharic,,0,2026-01-27 01:00:10.449,,f,,am,
165,Shona,,0,2026-01-27 01:00:10.458,,f,,sn,
132,Mongolian,,0,2026-01-27 01:00:10.455,,f,,mn,
167,Albanian,,0,2026-01-27 01:00:10.458,,f,,sq,
129,Māori,,0,2026-01-27 01:00:10.455,,f,,mi,
78,English,,0,2026-01-27 01:00:10.451,,f,,en,
124,Lao,,0,2026-01-27 01:00:10.455,,f,,lo,
68,Catalan,,0,2026-01-27 01:00:10.45,,f,,ca,
101,Interlingua,,0,2026-01-27 01:00:10.453,,f,,ia,
113,Kalaallisut,,0,2026-01-27 01:00:10.454,,f,,kl,
110,Georgian,,0,2026-01-27 01:00:10.454,,f,,ka,
107,Italian,,0,2026-01-27 01:00:10.454,,f,,it,
151,Quechua,,0,2026-01-27 01:00:10.457,,f,,qu,
111,Kikuyu,,0,2026-01-27 01:00:10.454,,f,,ki,
185,Urdu,,0,2026-01-27 01:00:10.46,,f,,ur,
87,French,,0,2026-01-27 01:00:10.452,,f,,fr,
67,Bosnian,,0,2026-01-27 01:00:10.45,,f,,bs,
181,Turkish,,0,2026-01-27 01:00:10.459,,f,,tr,
168,Serbian,,0,2026-01-27 01:00:10.458,,f,,sr,
106,Icelandic,,0,2026-01-27 01:00:10.454,,f,,is,
72,Welsh,,0,2026-01-27 01:00:10.451,,f,,cy,
79,Esperanto,,0,2026-01-27 01:00:10.451,,f,,eo,
58,Arabic,,0,2026-01-27 01:00:10.449,,f,,ar,
92,Gujarati,,0,2026-01-27 01:00:10.452,,f,,gu,
118,Kurdish,,0,2026-01-27 01:00:10.454,,f,,ku,
190,Yiddish,,0,2026-01-27 01:00:10.46,,f,,yi,
155,Russian,,0,2026-01-27 01:00:10.457,,f,,ru,
81,Estonian,,0,2026-01-27 01:00:10.451,,f,,et,
73,Danish,,0,2026-01-27 01:00:10.451,,f,,da,
71,Chuvash,,0,2026-01-27 01:00:10.451,,f,,cv,
112,Kazakh,,0,2026-01-27 01:00:10.454,,f,,kk,
